ano;mes;dia;Precipitacao;TempMedia;TempMaxima;TempMinima;URMedia
1961.0;1.0;1.0;0.0;22.16;27.0;17.4;80.0
1961.0;1.0;2.0;0.8;24.0;31.2;18.2;66.25
1961.0;1.0;3.0;0.0;21.88;28.6;19.6;84.25
1961.0;1.0;4.0;58.4;18.4;24.8;15.4;83.0
1961.0;1.0;5.0;0.1;21.48;28.2;15.6;73.5
1961.0;1.0;6.0;47.6;18.36;21.8;17.2;95.75
1961.0;1.0;7.0;11.1;17.56;24.6;10.6;75.0
1961.0;1.0;8.0;0.0;21.6;29.8;14.4;64.5
1961.0;1.0;9.0;0.0;23.48;31.2;17.6;68.25
1961.0;1.0;10.0;0.0;20.72;24.2;18.2;89.75
1961.0;1.0;11.0;13.6;19.98;25.2;16.7;82.0
1961.0;1.0;12.0;0.0;23.04;30.4;16.2;70.0
1961.0;1.0;13.0;0.0;24.26;30.2;18.5;62.75
1961.0;1.0;14.0;0.0;24.76;30.0;19.8;67.5
1961.0;1.0;15.0;0.0;25.4;30.2;21.0;69.5
1961.0;1.0;16.0;0.0;25.8;32.2;21.9;67.75
1961.0;1.0;17.0;0.0;22.28;29.4;19.4;78.75
1961.0;1.0;18.0;3.9;21.08;26.2;18.4;88.25
1961.0;1.0;19.0;0.1;24.28;31.4;19.0;76.75
1961.0;1.0;20.0;0.0;25.76;33.2;20.0;69.0
1961.0;1.0;21.0;0.0;22.6;28.8;20.6;94.5
1961.0;1.0;22.0;64.3;18.56;24.8;16.4;88.5
1961.0;1.0;23.0;0.0;20.64;27.8;13.2;67.75
1961.0;1.0;24.0;0.0;21.14;29.2;15.9;69.25
1961.0;1.0;25.0;0.1;16.34;20.7;14.0;90.5
1961.0;1.0;26.0;0.9;16.04;22.0;11.8;75.25
1961.0;1.0;27.0;0.0;16.58;22.6;12.1;73.75
1961.0;1.0;28.0;0.0;18.64;26.0;12.4;69.0
1961.0;1.0;29.0;0.0;19.68;27.0;16.0;76.5
1961.0;1.0;30.0;0.0;21.68;28.4;16.0;63.25
1961.0;1.0;31.0;0.0;23.72;31.0;18.8;59.5
1961.0;2.0;1.0;0.0;24.84;32.2;20.2;57.0
1961.0;2.0;2.0;8.4;21.34;27.8;17.7;82.25
1961.0;2.0;3.0;0.0;20.8;26.4;18.2;82.5
1961.0;2.0;4.0;0.0;21.08;28.0;15.2;72.75
1961.0;2.0;5.0;0.0;20.7;26.5;18.4;85.0
1961.0;2.0;6.0;3.2;22.38;27.0;18.4;74.75
1961.0;2.0;7.0;0.0;20.74;23.1;19.4;89.75
1961.0;2.0;8.0;5.3;20.84;26.0;17.4;82.75
1961.0;2.0;9.0;0.0;20.2;27.4;15.4;78.0
1961.0;2.0;10.0;0.0;22.96;29.2;18.0;72.75
1961.0;2.0;11.0;19.7;20.56;24.6;19.0;85.75
1961.0;2.0;12.0;0.0;20.2;27.2;13.6;55.25
1961.0;2.0;13.0;0.0;18.68;23.4;16.8;82.5
1961.0;2.0;14.0;0.1;17.48;24.8;12.4;70.0
1961.0;2.0;15.0;0.0;19.68;26.8;14.2;65.0
1961.0;2.0;16.0;0.0;20.6;28.0;16.2;65.25
1961.0;2.0;17.0;0.0;20.62;26.6;16.9;85.5
1961.0;2.0;18.0;12.7;21.92;29.4;18.0;78.25
1961.0;2.0;19.0;10.0;22.7;29.7;18.4;76.25
1961.0;2.0;20.0;0.0;23.48;29.2;19.6;72.0
1961.0;2.0;21.0;0.0;22.2;30.0;19.6;81.75
1961.0;2.0;22.0;11.8;22.76;30.4;18.6;77.75
1961.0;2.0;23.0;2.7;22.06;27.4;19.1;86.0
1961.0;2.0;24.0;0.1;22.4;28.4;19.2;82.25
1961.0;2.0;25.0;0.0;23.98;30.6;20.1;80.5
1961.0;2.0;26.0;23.6;20.76;22.6;19.6;93.5
1961.0;2.0;27.0;21.9;16.32;19.6;15.0;98.0
1961.0;2.0;28.0;4.5;16.68;23.0;12.4;83.5
1961.0;3.0;1.0;0.1;19.24;26.2;14.4;75.5
1961.0;3.0;2.0;0.0;20.92;29.0;15.6;72.5
1961.0;3.0;3.0;0.0;22.72;29.6;16.6;70.0
1961.0;3.0;4.0;0.0;22.08;27.2;20.0;83.5
1961.0;3.0;5.0;63.6;15.48;20.6;13.4;95.75
1961.0;3.0;6.0;4.7;14.44;17.2;12.4;80.0
1961.0;3.0;7.0;0.0;18.96;24.4;14.0;70.0
1961.0;3.0;8.0;0.1;19.24;24.8;17.0;88.5
1961.0;3.0;9.0;8.5;21.76;27.6;17.2;82.5
1961.0;3.0;10.0;0.0;23.04;30.2;20.2;76.75
1961.0;3.0;11.0;2.3;19.64;21.2;19.0;94.25
1961.0;3.0;12.0;11.3;19.96;24.0;18.6;95.25
1961.0;3.0;13.0;38.4;18.52;19.9;17.2;93.0
1961.0;3.0;14.0;9.7;17.6;24.4;13.4;78.0
1961.0;3.0;15.0;0.0;21.72;27.8;17.0;77.5
1961.0;3.0;16.0;0.8;19.72;24.6;17.4;88.5
1961.0;3.0;17.0;80.9;13.0;17.4;11.2;99.25
1961.0;3.0;18.0;15.8;11.56;13.4;10.4;96.0
1961.0;3.0;19.0;5.6;15.48;21.2;11.4;89.75
1961.0;3.0;20.0;0.9;15.96;17.1;14.4;93.75
1961.0;3.0;21.0;47.7;17.8;22.9;13.9;80.75
1961.0;3.0;22.0;0.0;19.96;27.0;14.6;63.75
1961.0;3.0;23.0;0.0;22.24;29.9;17.3;73.5
1961.0;3.0;24.0;0.0;23.68;30.7;19.1;66.0
1961.0;3.0;25.0;0.0;20.46;28.4;17.1;90.25
1961.0;3.0;26.0;16.7;15.02;18.2;13.8;91.75
1961.0;3.0;27.0;1.5;14.32;20.2;10.8;76.25
1961.0;3.0;28.0;0.0;15.72;22.2;11.2;72.5
1961.0;3.0;29.0;0.0;17.46;23.8;12.3;63.0
1961.0;3.0;30.0;0.0;17.66;23.6;12.6;62.5
1961.0;3.0;31.0;0.0;17.5;23.2;12.9;68.25
1961.0;4.0;1.0;0.0;18.46;23.6;14.6;75.0
1961.0;4.0;2.0;11.4;18.22;23.7;15.6;89.25
1961.0;4.0;3.0;0.0;16.36;20.6;13.6;90.25
1961.0;4.0;4.0;44.5;17.92;22.4;14.7;92.0
1961.0;4.0;5.0;0.4;18.88;26.3;14.7;83.0
1961.0;4.0;6.0;0.2;15.02;22.4;12.4;86.25
1961.0;4.0;7.0;0.0;17.48;25.4;11.0;75.0
1961.0;4.0;8.0;0.0;20.02;26.4;14.3;74.0
1961.0;4.0;9.0;0.0;18.64;23.3;17.1;86.25
1961.0;4.0;10.0;2.3;18.74;20.6;16.4;90.5
1961.0;4.0;11.0;11.0;17.48;20.0;16.4;92.0
1961.0;4.0;12.0;22.4;17.38;19.6;16.4;91.75
1961.0;4.0;13.0;11.0;17.76;21.2;16.4;94.0
1961.0;4.0;14.0;0.2;18.28;23.4;16.0;94.5
1961.0;4.0;15.0;40.3;15.3;17.6;14.4;93.5
1961.0;4.0;16.0;12.8;18.56;22.6;14.6;89.0
1961.0;4.0;17.0;0.8;18.52;20.4;17.8;95.0
1961.0;4.0;18.0;14.7;15.74;17.8;14.5;98.5
1961.0;4.0;19.0;13.8;12.28;16.8;10.6;90.0
1961.0;4.0;20.0;0.0;12.54;19.8;7.2;86.25
1961.0;4.0;21.0;0.0;16.4;23.1;11.4;79.25
1961.0;4.0;22.0;0.0;15.08;17.2;13.7;88.5
1961.0;4.0;23.0;0.5;16.52;21.4;14.1;85.25
1961.0;4.0;24.0;0.0;11.46;17.2;9.4;85.5
1961.0;4.0;25.0;0.1;11.14;18.6;5.8;86.25
1961.0;4.0;26.0;0.0;13.26;19.7;9.9;86.25
1961.0;4.0;27.0;0.2;12.86;18.7;8.8;79.25
1961.0;4.0;28.0;0.0;12.32;19.0;10.0;85.0
1961.0;4.0;29.0;8.1;12.7;19.3;8.4;82.25
1961.0;4.0;30.0;0.0;14.4;22.4;10.0;77.0
1961.0;5.0;1.0;0.0;14.5;22.2;8.9;81.5
1961.0;5.0;2.0;0.0;15.28;20.6;12.6;83.25
1961.0;5.0;3.0;0.2;15.62;22.2;11.2;80.25
1961.0;5.0;4.0;0.0;16.36;23.6;12.2;72.25
1961.0;5.0;5.0;0.0;17.84;25.3;12.8;84.0
1961.0;5.0;6.0;0.0;17.96;23.6;13.6;84.75
1961.0;5.0;7.0;0.1;17.32;21.4;15.6;87.75
1961.0;5.0;8.0;6.4;13.04;16.7;11.2;96.25
1961.0;5.0;9.0;0.1;13.5;21.2;9.0;83.75
1961.0;5.0;10.0;0.4;12.92;18.0;8.4;90.5
1961.0;5.0;11.0;0.0;15.42;21.6;10.3;73.75
1961.0;5.0;12.0;0.0;16.04;22.3;11.8;76.5
1961.0;5.0;13.0;0.0;16.78;24.4;12.7;80.75
1961.0;5.0;14.0;0.0;16.82;23.1;13.8;86.0
1961.0;5.0;15.0;0.0;17.46;22.4;14.9;84.25
1961.0;5.0;16.0;0.7;16.56;17.8;16.1;90.5
1961.0;5.0;17.0;10.0;15.5;17.2;14.6;96.25
1961.0;5.0;18.0;28.2;13.42;14.8;12.7;98.0
1961.0;5.0;19.0;4.9;8.42;12.7;5.8;84.25
1961.0;5.0;20.0;0.4;6.88;13.4;2.4;86.25
1961.0;5.0;21.0;0.0;12.12;20.8;6.2;72.75
1961.0;5.0;22.0;0.0;14.0;21.2;10.2;79.0
1961.0;5.0;23.0;0.0;14.48;21.0;11.0;82.75
1961.0;5.0;24.0;0.1;14.74;22.6;10.7;84.25
1961.0;5.0;25.0;0.4;14.26;22.0;10.2;83.25
1961.0;5.0;26.0;0.0;14.82;21.4;11.1;78.75
1961.0;5.0;27.0;0.0;14.58;20.4;11.2;71.75
1961.0;5.0;28.0;0.0;14.74;19.2;10.3;75.5
1961.0;5.0;29.0;0.0;16.58;23.9;12.4;61.0
1961.0;5.0;30.0;0.0;16.4;22.2;13.8;61.75
1961.0;5.0;31.0;0.0;16.86;24.0;12.0;59.0
1961.0;6.0;1.0;0.0;15.7;19.0;13.7;87.0
1961.0;6.0;2.0;2.5;14.98;20.6;11.7;83.5
1961.0;6.0;3.0;0.0;17.36;23.4;12.2;72.75
1961.0;6.0;4.0;0.0;17.18;23.7;14.6;82.25
1961.0;6.0;5.0;70.0;12.0;14.6;10.6;98.75
1961.0;6.0;6.0;0.6;16.44;21.0;11.8;79.25
1961.0;6.0;7.0;0.0;18.04;23.6;15.2;77.0
1961.0;6.0;8.0;0.0;18.46;24.4;14.8;75.25
1961.0;6.0;9.0;0.0;18.64;24.3;15.7;64.25
1961.0;6.0;10.0;11.0;12.92;18.2;10.8;97.5
1961.0;6.0;11.0;56.1;8.6;10.8;7.6;99.25
1961.0;6.0;12.0;4.0;8.22;8.5;8.0;100.0
