Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m��);Chuva (mm)
01/01/2020;100;25,5;27,3;25,4;71;71;62;19,8;19,9;19,3;1012,9;1013,1;1012,8;3,4;18;7,1;;1,4
01/01/2020;200;25,5;25,7;25,5;71;72;71;20;20,2;19,8;1012,8;1013,3;1012,8;2;28;5,8;;0
01/01/2020;300;25,3;25,6;25,1;74;74;71;20,3;20,3;19,9;1011,2;1012,8;1011,2;1,7;52;3,7;;0,4
01/01/2020;400;25,5;25,6;25,2;72;74;72;20,1;20,3;20,1;1010,5;1011,2;1010,5;0,8;67;3,3;;0
01/01/2020;500;25,7;25,8;25,2;71;73;71;20,1;20,2;19,9;1010,9;1010,9;1010,5;1,2;16;2,1;;0
01/01/2020;600;24,8;25,8;24,8;72;72;71;19,3;20,1;19,3;1010,8;1011;1010,8;1,1;299;2,6;;0
01/01/2020;700;24,9;25;24,6;72;72;71;19,5;19,5;19,1;1010,8;1010,9;1010,8;0,9;19;2,8;;0
01/01/2020;800;25;25,2;24,9;72;72;72;19,5;19,7;19,5;1011,1;1011,3;1010,8;1,4;337;3;;0
01/01/2020;900;25;25;24,8;72;72;72;19,5;19,6;19,4;1011,4;1011,4;1011,1;1,4;360;2,9;20,57;0
01/01/2020;1000;25,5;25,6;25;69;72;69;19,5;19,7;19,5;1011,8;1011,8;1011,4;2,4;336;4,5;258,3;0
01/01/2020;1100;27,2;27,2;25,5;66;70;65;20,2;20,2;19,6;1012,2;1012,2;1011,8;2,5;11;4,6;638,9;0
01/01/2020;1200;28,4;28,5;26,8;59;66;59;19,7;20,4;19,6;1012,6;1012,7;1012,1;3,2;16;6,4;1086,91;0
01/01/2020;1300;28,9;29,4;28,4;53;60;52;18,2;20,1;18,2;1012,5;1012,7;1012,5;3,2;21;7,5;1282,52;0
01/01/2020;1400;30,5;30,7;28,8;46;56;46;17,6;19,9;17,6;1012;1012,6;1012;3,5;41;7,1;1501,48;0
01/01/2020;1500;29,9;31,1;29,4;53;55;45;19,2;19,4;17,7;1011,5;1012;1011,5;3,8;80;6,3;1671,18;0
01/01/2020;1600;29;30;28,8;58;58;51;19,8;20,1;18,7;1010,8;1011,5;1010,8;4,3;81;6,7;1227,09;0
01/01/2020;1700;28,9;29,5;28,8;56;59;54;19,4;20,2;19;1009,9;1010,8;1009,9;4,5;80;8,2;1250,14;0
01/01/2020;1800;29,4;30,3;28,9;54;57;52;19,1;19,9;18,6;1009,4;1009,9;1009,4;4,8;79;8,2;1621,53;0
01/01/2020;1900;29,5;30,2;29,2;54;55;51;19,1;19,5;18,4;1008,9;1009,4;1008,9;5,2;78;8,7;1928,49;0
01/01/2020;2000;27,9;29,5;27,9;57;59;53;18,7;19,3;18,4;1009,7;1009,7;1008,9;4,6;79;9,2;570,68;0
01/01/2020;2100;27,4;28;27,4;62;64;57;19,6;20,1;18,7;1010,1;1010,1;1009,6;4,8;77;9;97,67;0
01/01/2020;2200;27,3;27,5;27,3;62;64;58;19,4;19,8;18,4;1010,5;1010,5;1010,1;5,1;80;8,6;;0
01/01/2020;2300;27,3;27,4;27,3;64;64;61;19,8;19,9;19,3;1010,9;1011;1010,4;4,6;71;9,1;;0
02/01/2020;0;27,4;27,4;27,3;63;65;63;19,8;20,1;19,6;1011,9;1011,9;1010,8;4;67;8,9;;0
02/01/2020;100;27,4;27,4;27,3;60;63;59;18,9;19,8;18,6;1012,3;1012,4;1011,9;4;64;7,6;;0
02/01/2020;200;27,3;27,4;27,2;63;63;60;19,5;19,7;18,9;1012,4;1012,4;1012,2;3,7;61;7,5;;0
02/01/2020;300;27,1;27,3;27,1;63;63;61;19,4;19,5;19;1011,7;1012,4;1011,7;2,8;56;7,3;;0
02/01/2020;400;27;27,1;27;63;64;63;19,3;19,7;19,3;1010,8;1011,7;1010,8;2,9;48;7,1;;0
02/01/2020;500;26,8;27,1;26,8;64;64;62;19,5;19,5;19,2;1010;1010,8;1010;2,7;41;5,9;;0
02/01/2020;600;26,2;26,8;26,2;66;66;64;19,5;19,7;19,5;1009,7;1010;1009,7;2,1;18;5,2;;0
02/01/2020;700;26;26,2;26;67;67;66;19,5;19,6;19,4;1009,9;1009,9;1009,6;2;24;4,5;;0
02/01/2020;800;26;26,1;26;66;67;66;19,2;19,5;19,2;1010,6;1010,6;1009,9;2,5;24;4,8;;0
02/01/2020;900;26,2;26,2;25,9;64;66;64;18,8;19,2;18,7;1011,7;1011,7;1010,6;3,1;20;7,3;21,22;0
02/01/2020;1000;26,7;26,8;26,1;61;64;61;18,6;18,8;18,6;1012,2;1012,2;1011,7;2,8;24;6,1;226,01;0
02/01/2020;1100;27,6;27,7;26,7;57;61;56;18,2;18,8;18,2;1012,6;1012,6;1012,1;3;29;5,7;631,59;0
02/01/2020;1200;31;31,7;27,5;43;57;41;16,8;18,5;16,3;1012,7;1012,9;1012,6;3,8;63;6,6;1723,2;0
02/01/2020;1300;31,6;32,3;29,5;42;45;39;17,1;17,4;16;1012,4;1012,7;1012,4;4;78;7,3;2413,74;0
02/01/2020;1400;30;32,2;29,6;50;50;40;18,5;18,6;16,4;1012;1012,4;1012;4,6;78;7;2077,84;0
02/01/2020;1500;30,2;30,5;29,5;53;53;49;19,5;19,5;18,1;1011,8;1012;1011,8;4,9;75;8;1895,19;0
02/01/2020;1600;29,8;30,8;29,3;54;54;48;19,5;19,5;18,4;1011,4;1011,8;1011,4;4,9;79;9;1866,04;0
02/01/2020;1700;31,3;31,3;29,4;50;54;50;19,5;20,2;18,7;1010,5;1011,4;1010,5;4,9;76;9,4;2197,66;0
