Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm),
01/01/2020,0100,21.0,21.3,20.9,88.0,89.0,88.0,18.9,19.4,18.9,923.7,923.9,923.6,2.6,19.0,4.3,,0.0,
01/01/2020,0200,21.1,21.3,21.0,88.0,88.0,87.0,19.0,19.2,18.8,923.5,923.7,923.5,1.9,48.0,4.1,,0.0,
01/01/2020,0300,20.7,21.4,20.7,87.0,88.0,84.0,18.4,19.0,18.4,923.1,923.5,923.0,2.6,16.0,4.8,,0.0,
01/01/2020,0400,20.3,20.7,20.3,90.0,90.0,87.0,18.5,18.7,18.5,922.8,923.1,922.7,1.1,15.0,4.4,,0.0,
01/01/2020,0500,20.0,20.4,20.0,91.0,91.0,90.0,18.5,18.7,18.4,922.3,922.8,922.3,1.4,3.0,3.6,,0.0,
01/01/2020,0600,20.2,20.4,19.9,89.0,91.0,89.0,18.3,18.7,18.2,921.9,922.3,921.9,1.3,11.0,3.0,,0.0,
01/01/2020,0700,19.7,20.5,19.6,90.0,90.0,87.0,18.1,18.4,17.9,922.0,922.1,921.7,0.2,241.0,2.4,,0.0,
01/01/2020,0800,19.9,20.1,19.4,91.0,92.0,90.0,18.3,18.6,17.9,922.2,922.2,922.0,0.0,248.0,1.0,,0.0,
01/01/2020,0900,19.7,20.0,19.6,93.0,93.0,91.0,18.4,18.6,18.1,922.3,922.3,922.2,0.1,280.0,0.8,11.42,0.0,
01/01/2020,1000,21.9,22.0,19.7,86.0,93.0,86.0,19.5,19.7,18.5,922.8,922.8,922.3,0.7,274.0,2.1,271.83,0.0,
01/01/2020,1100,22.3,22.3,21.8,85.0,86.0,84.0,19.6,19.6,19.2,923.2,923.2,922.8,0.5,259.0,2.0,403.98,0.0,
01/01/2020,1200,23.2,23.3,22.3,82.0,85.0,82.0,20.0,20.3,19.5,923.2,923.2,923.2,0.6,258.0,1.9,622.97,0.0,
01/01/2020,1300,23.6,23.8,23.0,78.0,83.0,78.0,19.7,20.2,19.6,923.2,923.3,923.2,1.7,243.0,4.0,842.23,0.0,
01/01/2020,1400,25.4,26.2,23.6,71.0,79.0,69.0,19.8,21.3,19.3,923.3,923.4,923.2,2.3,250.0,4.9,1951.49,0.0,
01/01/2020,1500,25.1,26.3,24.9,75.0,75.0,69.0,20.4,20.8,19.6,922.9,923.3,922.9,2.6,249.0,5.1,1511.71,0.0,
01/01/2020,1600,25.4,26.5,25.0,73.0,76.0,71.0,20.2,21.3,19.8,922.4,922.8,922.3,1.8,259.0,5.4,1399.88,0.0,
01/01/2020,1700,25.3,27.0,25.3,76.0,76.0,70.0,20.7,21.8,20.2,922.1,922.4,921.9,3.0,265.0,6.5,1448.01,0.0,
01/01/2020,1800,24.1,25.3,23.3,85.0,88.0,76.0,21.3,21.6,20.5,921.1,922.2,921.1,3.1,256.0,6.7,790.91,0.2,
01/01/2020,1900,23.8,24.4,23.4,84.0,85.0,83.0,20.9,21.6,20.5,920.8,921.1,920.7,1.7,236.0,5.4,767.89,0.0,
01/01/2020,2000,26.1,26.1,23.7,74.0,84.0,74.0,21.1,21.6,20.6,920.3,920.8,920.3,2.7,276.0,5.8,990.96,0.0,
01/01/2020,2100,25.7,26.4,25.6,72.0,74.0,68.0,20.2,21.2,19.7,919.7,920.3,919.7,2.3,250.0,6.0,1352.70,0.0,
01/01/2020,2200,23.7,25.7,23.6,78.0,78.0,70.0,19.6,20.1,19.0,920.1,920.1,919.7,0.5,220.0,4.7,127.76,0.0,
01/01/2020,2300,22.2,23.7,22.2,86.0,86.0,78.0,19.7,20.1,19.5,920.9,920.9,920.1,0.0,107.0,2.0,31.66,0.0,
02/01/2020,0000,20.2,22.3,20.0,94.0,94.0,86.0,19.2,20.1,18.6,921.6,921.7,920.9,0.7,117.0,8.7,,5.4,
02/01/2020,0100,20.2,20.4,20.1,95.0,95.0,94.0,19.3,19.5,19.2,922.0,922.0,921.6,0.3,162.0,1.4,,0.0,
