
Data;Hora(UTC);TempIns.(C);TempMax(C);TemMin(C);UmiIns(%);UmiMax(%);UmiMin(%);PtoOrvalhoIns(C);PtoOrvalhoMax(C);PtoOrvalhoMin(C);PressaoIns(hPa);PressaoMax(hPa);PressaoMin(hPa);VelVento(m/s);DirVento(m/s);RajVento(m/s);Radiacao(KJ/m²);Chuva(mm);
01/01/2019;0100;30,8;31,4;30,7;35,0;35,0;33,0;13,5;13,5;13,0;969,5;969,5;969,2;1,8;156,0;4,7;;0,0;
01/01/2019;0200;30,1;30,8;30,1;37,0;37,0;35,0;13,7;13,7;13,4;969,5;969,6;969,4;3,0;138,0;5,1;;0,0;
01/01/2019;0300;28,9;30,1;28,9;42,0;42,0;37,0;14,8;14,8;13,5;969,6;969,7;969,4;2,7;122,0;7,6;;0,0;
01/01/2019;0400;28,1;28,9;28,1;51,0;51,0;42,0;17,0;17,1;14,8;969,5;969,7;969,5;2,8;106,0;5,6;;0,0;
01/01/2019;0500;27,3;28,1;27,2;58,0;58,0;51,0;18,4;18,4;17,0;969,8;969,8;969,5;2,7;117,0;6,2;;0,0;
01/01/2019;0600;26,7;27,4;26,7;61,0;61,0;58,0;18,5;18,5;18,4;970,1;970,1;969,7;2,9;124,0;7,8;;0,0;
01/01/2019;0700;26,1;26,7;26,1;62,0;62,0;60,0;18,4;18,4;18,3;970,7;970,7;970,1;3,4;128,0;6,8;;0,0;
01/01/2019;0800;25,5;26,1;25,5;64,0;65,0;63,0;18,2;18,4;18,2;971,6;971,6;970,7;3,4;123,0;6,9;;0,0;
01/01/2019;0900;25,0;25,5;24,9;63,0;64,0;63,0;17,4;18,2;17,4;972,8;972,8;971,6;4,1;116,0;7,4;14,28;0,0;
01/01/2019;1000;25,2;25,7;24,8;60,0;63,0;59,0;16,9;17,4;16,9;973,2;973,3;972,8;4,4;119,0;9,2;233,01;0,0;
01/01/2019;1100;27,0;27,9;25,2;54,0;60,0;52,0;16,9;17,5;16,6;973,7;973,7;973,2;5,1;117,0;9,3;919,52;0,0;
01/01/2019;1200;27,3;28,5;27,1;52,0;54,0;49,0;16,6;17,2;16,1;974,1;974,1;973,7;4,5;127,0;10,2;1388,31;0,0;
01/01/2019;1300;28,6;29,4;27,3;45,0;52,0;44,0;15,7;16,8;15,6;973,9;974,2;973,9;4,3;119,0;8,3;1331,27;0,0;
01/01/2019;1400;31,4;31,6;28,5;38,0;46,0;38,0;15,5;16,5;15,1;973,0;973,9;973,0;4,1;132,0;8,6;2344,19;0,0;
01/01/2019;1500;33,7;33,7;31,0;32,0;38,0;32,0;14,6;15,4;13,9;972,3;973,0;972,3;3,7;120,0;9,5;2850,70;0,0;
01/01/2019;1600;33,0;34,9;31,9;27,0;32,0;26,0;11,8;14,6;11,7;971,3;972,3;971,3;3,5;102,0;8,4;2779,27;0,0;
01/01/2019;1700;34,2;34,6;32,9;26,0;29,0;25,0;11,8;12,8;11,7;970,3;971,3;970,3;4,6;121,0;8,5;2494,39;0,0;
01/01/2019;1800;34,6;35,3;33,9;25,0;26,0;24,0;11,5;12,2;11,1;969,4;970,3;969,4;4,0;130,0;8,9;2102,67;0,0;
01/01/2019;1900;35,8;35,9;34,3;22,0;25,0;22,0;10,9;11,9;10,9;969,1;969,5;969,0;4,0;121,0;9,2;1580,49;0,0;
01/01/2019;2000;35,1;35,8;34,6;22,0;24,0;22,0;10,1;11,3;10,0;969,2;969,2;969,0;4,6;111,0;8,7;961,73;0,0;
01/01/2019;2100;33,9;35,4;33,9;23,0;23,0;21,0;9,9;10,3;9,1;969,5;969,5;969,2;3,7;102,0;8,6;226,61;0,0;
01/01/2019;2200;32,9;33,9;32,9;25,0;25,0;23,0;10,5;10,5;9,9;969,9;969,9;969,5;2,0;114,0;6,9;;0,0;
01/01/2019;2300;32,1;33,0;31,9;28,0;28,0;25,0;11,0;11,4;10,5;970,5;970,5;969,9;1,9;119,0;3,7;;0,0;
02/01/2019;0000;31,2;32,1;31,0;29,0;30,0;27,0;11,2;11,2;10,8;971,0;971,0;970,5;2,4;134,0;4,3;;0,0;
02/01/2019;0100;30,7;31,3;30,7;32,0;32,0;29,0;11,9;11,9;11,2;971,2;971,2;970,9;4,4;126,0;7,9;;0,0;
02/01/2019;0200;29,8;30,7;29,8;38,0;38,0;32,0;13,9;13,9;11,9;971,3;971,4;971,2;5,0;117,0;9,1;;0,0;
02/01/2019;0300;28,8;29,8;28,8;48,0;48,0;38,0;16,6;16,6;14,0;971,2;971,4;971,2;5,8;116,0;12,1;;0,0;
02/01/2019;0400;27,4;28,8;27,4;55,0;55,0;48,0;17,5;17,5;16,6;971,1;971,2;971,1;4,6;128,0;11,8;;0,0;
02/01/2019;0500;26,4;27,4;26,4;61,0;61,0;55,0;18,2;18,2;17,6;971,0;971,1;970,8;6,1;120,0;11,3;;0,0;
02/01/2019;0600;25,6;26,4;25,6;65,0;65,0;61,0;18,5;18,5;18,3;971,3;971,3;970,9;4,3;113,0;10,8;;0,0;
02/01/2019;0700;25,7;25,7;25,5;63,0;66,0;63,0;18,1;18,7;18,1;972,0;972,0;971,3;4,8;105,0;8,9;;0,0;
02/01/2019;0800;25,2;25,7;25,2;65,0;65,0;63,0;18,3;18,3;18,1;972,4;972,4;972,0;3,2;101,0;9,7;;0,0;
02/01/2019;0900;25,2;25,2;25,1;65,0;66,0;65,0;18,2;18,3;18,1;972,8;972,8;972,4;2,7;113,0;5,9;16,99;0,0;
02/01/2019;1000;26,0;26,2;25,2;60,0;65,0;60,0;17,8;18,3;17,7;973,0;973,0;972,8;3,3;123,0;6,5;370,47;0,0;
02/01/2019;1100;27,0;27,6;26,1;57,0;61,0;55,0;17,6;18,0;17,4;973,5;973,5;973,0;4,3;120,0;7,4;919,66;0,0;
02/01/2019;1200;28,5;29,0;26,9;48,0;57,0;48,0;16,5;17,9;16,5;973,9;973,9;973,5;5,6;111,0;11,3;995,75;0,0;
02/01/2019;1300;30,2;30,3;28,3;42,0;48,0;42,0;15,9;16,9;15,5;973,8;974,0;973,8;4,4;110,0;11,3;1499,99;0,0;
02/01/2019;1400;31,8;32,0;29,6;36,0;43,0;36,0;14,8;16,1;14,8;973,1;973,9;973,1;4,3;104,0;10,3;2160,51;0,0;
02/01/2019;1500;32,3;32,8;30,9;33,0;38,0;33,0;14,1;15,2;13,9;972,4;973,1;972,4;5,1;127,0;10,0;2653,33;0,0;
02/01/2019;1600;34,0;34,3;31,9;30,0;34,0;30,0;13,9;14,6;13,5;971,6;972,4;971,6;5,6;120,0;10,0;2648,90;0,0;
02/01/2019;1700;34,3;34,6;33,0;28,0;31,0;28,0;13,4;14,0;13,1;970,6;971,6;970,6;3,7;118,0;9,8;2164,38;0,0;
02/01/2019;1800;35,0;35,6;33,8;25,0;28,0;25,0;12,0;13,5;11,9;969,8;970,6;969,8;5,3;109,0;9,7;1890,30;0,0;
02/01/2019;1900;35,5;35,7;34,2;24,0;26,0;23,0;11,6;12,3;11,0;969,5;969,8;969,5;4,4;117,0;10,6;1412,20;0,0;
02/01/2019;2000;34,3;35,6;34,2;25,0;26,0;23,0;11,6;12,2;11,2;969,8;969,8;969,4;4,8;109,0;10,5;931,92;0,0;
02/01/2019;2100;33,5;34,8;33,5;27,0;27,0;24,0;11,7;11,8;11,4;970,1;970,1;969,8;3,5;109,0;9,6;289,26;0,0;
02/01/2019;2200;32,9;33,5;32,9;28,0;28,0;26,0;11,9;12,0;11,5;970,4;970,4;970,1;3,6;111,0;7,5;;0,0;
02/01/2019;2300;32,0;32,9;32,0;30,0;30,0;28,0;12,1;12,2;11,9;970,8;970,8;970,4;2,3;118,0;7,5;;0,0;
03/01/2019;0000;31,0;32,0;31,0;33,0;33,0;30,0;13,0;13,0;12,0;971,5;971,5;970,8;3,8;118,0;8,5;;0,0;
03/01/2019;0100;30,0;31,0;30,0;38,0;38,0;33,0;14,2;14,2;13,0;972,0;972,0;971,5;3,2;113,0;7,2;;0,0;
03/01/2019;0200;29,1;30,0;29,1;42,0;42,0;38,0;14,8;14,8;14,2;971,8;972,1;971,8;5,3;116,0;12,8;;0,0;
03/01/2019;0300;27,9;29,1;27,9;47,0;47,0;42,0;15,4;15,4;14,8;971,3;971,8;971,3;5,0;117,0;10,9;;0,0;
03/01/2019;0400;26,8;27,9;26,8;51,0;51,0;47,0;15,8;15,8;15,4;970,9;971,3;970,9;5,2;122,0;9,8;;0,0;
03/01/2019;0500;25,7;26,8;25,7;55,0;55,0;51,0;16,0;16,1;15,8;970,8;970,9;970,7;3,4;124,0;8,9;;0,0;
03/01/2019;0600;25,0;25,7;25,0;54,0;55,0;54,0;15,1;16,0;15,1;970,9;970,9;970,8;4,1;117,0;9,8;;0,0;
03/01/2019;0700;24,1;25,0;24,1;58,0;58,0;54,0;15,4;15,4;15,1;971,3;971,3;970,9;4,0;114,0;8,6;;0,0;
03/01/2019;0800;23,2;24,1;23,2;65,0;65,0;59,0;16,1;16,1;15,4;971,9;971,9;971,3;3,8;130,0;7,8;;0,0;
03/01/2019;0900;23,0;23,2;22,9;65,0;66,0;65,0;16,1;16,2;16,1;972,6;972,6;971,9;3,7;126,0;7,3;18,27;0,0;
03/01/2019;1000;24,0;24,1;23,0;62,0;65,0;62,0;16,3;16,4;16,0;973,3;973,3;972,6;4,1;134,0;8,2;450,94;0,0;
03/01/2019;1100;25,6;25,7;24,0;55,0;62,0;55,0;15,9;16,5;15,9;973,5;973,5;973,3;5,2;123,0;9,4;1116,72;0,0;
03/01/2019;1200;26,3;27,6;25,3;52,0;56,0;49,0;15,7;16,3;15,4;973,8;973,9;973,5;4,9;121,0;9,2;1645,09;0,0;
03/01/2019;1300;28,9;29,3;26,4;42,0;52,0;42,0;14,8;16,0;14,7;973,4;973,8;973,3;4,5;129,0;9,2;2272,03;0,0;
03/01/2019;1400;31,1;31,2;28,0;34,0;44,0;33,0;13,1;15,1;12,8;972,6;973,4;972,6;4,7;112,0;8,3;2610,71;0,0;
03/01/2019;1500;31,8;32,9;30,1;30,0;35,0;30,0;12,1;13,3;12,0;972,1;972,6;972,1;4,5;133,0;8,7;2786,67;0,0;
03/01/2019;1600;33,6;34,5;31,4;24,0;31,0;24,0;10,4;13,0;10,4;971,1;972,1;971,1;3,7;110,0;9,2;2756,53;0,0;
03/01/2019;1700;33,9;34,8;32,8;24,0;26,0;23,0;10,5;11,5;9,9;969,8;971,1;969,8;4,8;127,0;10,0;2656,66;0,0;
03/01/2019;1800;35,2;35,5;33,3;21,0;25,0;21,0;10,0;11,0;9,6;968,8;969,8;968,8;3,8;95,0;10,0;2184,81;0,0;
03/01/2019;1900;35,4;35,6;34,3;21,0;22,0;20,0;9,8;10,1;8,7;968,7;968,8;968,5;3,0;78,0;9,2;1715,38;0,0;
03/01/2019;2000;34,1;35,7;33,9;23,0;23,0;21,0;9,7;9,9;9,4;969,1;969,1;968,6;3,0;80,0;7,5;902,56;0,0;
03/01/2019;2100;33,4;34,4;33,4;23,0;23,0;22,0;9,4;10,1;9,2;969,4;969,5;969,1;2,6;83,0;6,0;308,80;0,0;
03/01/2019;2200;32,3;33,4;32,3;26,0;26,0;22,0;10,1;10,2;9,0;969,7;969,7;969,4;1,6;108,0;4,7;;0,0;
