Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm);
01/11/2020;0100;15,5;16,0;15,5;83,0;83,0;78,0;12,7;12,7;12,2;1017,1;1017,2;1017,0;1,9;127,0;4,8;;0,0;
01/11/2020;0200;15,5;15,7;15,5;84,0;84,0;83,0;12,9;12,9;12,7;1016,9;1017,1;1016,8;2,1;132,0;5,7;;0,0;
01/11/2020;0300;15,0;15,5;15,0;88,0;88,0;84,0;13,1;13,2;12,8;1016,7;1016,9;1016,6;1,6;128,0;5,0;;0,0;
01/11/2020;0400;14,2;15,0;14,2;92,0;92,0;88,0;12,9;13,2;12,9;1016,2;1016,7;1016,2;1,1;89,0;3,7;;0,0;
01/11/2020;0500;14,1;14,3;14,1;93,0;93,0;91,0;12,9;13,0;12,8;1015,5;1016,2;1015,5;0,9;88,0;2,8;;0,0;
01/11/2020;0600;14,4;14,4;14,1;94,0;94,0;93,0;13,5;13,5;12,9;1015,1;1015,5;1015,1;1,7;132,0;3,7;;0,0;
01/11/2020;0700;14,5;14,5;14,2;95,0;95,0;94,0;13,7;13,7;13,4;1015,0;1015,1;1014,9;1,0;74,0;3,8;;0,0;
01/11/2020;0800;14,7;14,8;14,5;94,0;95,0;94,0;13,8;14,0;13,7;1015,1;1015,1;1014,9;1,0;72,0;3,1;;0,0;
01/11/2020;0900;15,1;15,1;14,7;93,0;94,0;93,0;14,0;14,0;13,8;1015,4;1015,4;1015,1;1,2;133,0;3,1;26,89;0,0;
01/11/2020;1000;17,4;17,4;15,1;84,0;93,0;83,0;14,7;15,0;14,0;1015,8;1015,8;1015,4;1,4;123,0;3,2;583,79;0,0;
01/11/2020;1100;18,4;18,6;17,4;79,0;84,0;76,0;14,6;15,1;13,9;1016,3;1016,3;1015,8;2,1;135,0;5,8;1238,88;0,0;
01/11/2020;1200;18,9;20,2;18,4;70,0;79,0;69,0;13,4;15,5;13,1;1016,3;1016,4;1016,3;2,0;132,0;5,1;1268,66;0,0;
01/11/2020;1300;20,9;20,9;18,9;65,0;72,0;63,0;14,1;14,1;12,7;1016,2;1016,4;1016,2;1,5;127,0;5,0;1369,67;0,0;
01/11/2020;1400;22,7;22,8;20,7;55,0;65,0;54,0;13,1;14,4;11,9;1015,8;1016,3;1015,8;1,3;110,0;5,7;3041,01;0,0;
01/11/2020;1500;21,5;22,7;21,3;56,0;61,0;53,0;12,5;14,0;11,7;1015,1;1015,8;1015,1;2,0;143,0;5,6;1957,08;0,0;
01/11/2020;1600;22,3;23,1;21,1;54,0;62,0;53,0;12,6;14,5;12,3;1014,5;1015,2;1014,5;2,3;163,0;6,6;2842,16;0,0;
01/11/2020;1700;22,6;23,9;21,5;54,0;58,0;52,0;12,8;14,4;12,2;1014,0;1014,5;1014,0;2,2;144,0;7,5;2544,71;0,0;
01/11/2020;1800;22,8;23,0;20,9;53,0;58,0;51,0;12,8;13,3;11,7;1013,7;1014,1;1013,7;3,1;135,0;8,3;2292,60;0,0;
01/11/2020;1900;21,9;22,8;20,6;53,0;57,0;52,0;11,8;12,8;11,3;1013,4;1013,7;1013,3;3,2;133,0;8,4;1829,85;0,0;
01/11/2020;2000;21,2;22,1;21,2;53,0;54,0;51,0;11,1;12,0;11,1;1013,3;1013,4;1013,2;3,1;117,0;8,3;1835,44;0,0;
01/11/2020;2100;19,7;21,2;19,7;57,0;57,0;52,0;11,0;11,6;10,5;1013,6;1013,6;1013,4;2,8;138,0;8,0;854,43;0,0;
01/11/2020;2200;18,2;19,7;18,2;61,0;61,0;56,0;10,4;11,0;10,3;1013,9;1013,9;1013,6;1,8;130,0;7,5;58,34;0,0;
01/11/2020;2300;16,8;18,2;16,8;67,0;67,0;60,0;10,6;10,6;10,4;1014,1;1014,1;1013,9;1,8;116,0;5,2;;0,0;
02/11/2020;0000;15,7;16,8;15,7;71,0;71,0;67,0;10,5;10,7;10,4;1014,5;1014,5;1014,1;0,9;125,0;4,3;;0,0;
02/11/2020;0100;15,0;15,8;15,0;73,0;73,0;70,0;10,3;10,4;10,3;1014,4;1014,7;1014,4;1,2;93,0;2,9;;0,0;
02/11/2020;0200;14,2;15,0;14,2;78,0;78,0;73,0;10,3;10,4;10,2;1014,2;1014,4;1014,2;1,1;131,0;3,0;;0,0;
02/11/2020;0300;13,6;14,3;13,5;81,0;82,0;78,0;10,5;10,6;10,4;1013,6;1014,2;1013,6;1,2;132,0;2,3;;0,0;
02/11/2020;0400;13,3;13,8;13,3;83,0;83,0;81,0;10,4;10,6;10,3;1012,9;1013,6;1012,9;1,2;138,0;2,6;;0,0;
02/11/2020;0500;13,0;13,3;12,9;85,0;86,0;83,0;10,6;10,8;10,4;1012,1;1012,9;1012,1;1,0;101,0;2,8;;0,0;
02/11/2020;0600;13,1;13,3;12,9;86,0;86,0;85,0;10,9;10,9;10,5;1011,4;1012,1;1011,4;1,0;89,0;2,1;;0,0;
02/11/2020;0700;13,3;13,3;13,1;87,0;87,0;86,0;11,2;11,2;10,9;1011,4;1011,4;1011,1;1,1;93,0;2,4;;0,0;
02/11/2020;0800;12,9;13,3;12,9;88,0;88,0;87,0;11,0;11,3;11,0;1011,5;1011,5;1011,3;0,5;20,0;2,0;;0,0;
02/11/2020;0900;12,5;12,9;12,2;91,0;91,0;88,0;11,1;11,3;10,8;1012,3;1012,3;1011,5;0,6;115,0;2,0;22,22;0,0;
