SACRAMENTO (A525);
Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm);
01/11/2020;0100;20,3;21,5;20,3;86,0;86,0;78,0;17,8;18,0;17,4;910,9;911,1;910,8;0,1;236,0;2,9;;;
01/11/2020;0200;20,4;20,4;20,2;86,0;87,0;85,0;17,9;18,0;17,7;911,0;911,0;910,8;0,0;236,0;2,0;;;
01/11/2020;0300;20,2;20,4;20,0;86,0;88,0;85,0;17,8;18,2;17,7;910,6;911,0;910,6;0,1;236,0;1,5;;;
01/11/2020;0400;20,0;20,3;20,0;81,0;86,0;81,0;16,7;17,8;16,7;910,3;910,6;910,2;0,5;236,0;1,9;0,83;;
01/11/2020;0500;19,2;20,1;19,2;79,0;82,0;77,0;15,5;16,8;15,3;909,8;910,3;909,7;0,4;236,0;4,3;0,23;;
01/11/2020;0600;18,4;19,2;18,3;80,0;80,0;78,0;15,0;15,5;14,9;909,5;909,8;909,4;0,9;236,0;3,2;;;
01/11/2020;0700;18,5;18,7;18,4;78,0;80,0;78,0;14,6;15,0;14,6;909,7;909,7;909,5;1,7;236,0;4,7;;;
01/11/2020;0800;18,0;18,7;17,9;78,0;79,0;75,0;14,0;14,6;14,0;909,8;909,9;909,7;0,9;236,0;5,7;;;
01/11/2020;0900;17,7;18,0;17,2;82,0;83,0;78,0;14,5;14,6;14,0;910,0;910,0;909,7;0,0;236,0;3,1;73,65;;
01/11/2020;1000;19,8;19,9;17,7;72,0;82,0;72,0;14,7;14,9;14,5;910,0;910,1;910,0;1,9;236,0;4,2;755,16;;
01/11/2020;1100;22,1;22,1;19,8;66,0;73,0;66,0;15,4;16,1;14,6;910,6;910,6;910,0;0,8;236,0;4,2;1801,21;;
01/11/2020;1200;23,5;23,9;21,6;58,0;67,0;57,0;14,7;15,8;14,4;910,5;910,6;910,4;1,2;236,0;5,4;2633,07;;
01/11/2020;1300;24,4;25,1;23,5;55,0;60,0;54,0;14,9;16,2;14,2;910,3;910,5;910,2;1,8;236,0;4,1;2519,85;;
01/11/2020;1400;25,9;26,1;24,4;52,0;56,0;50,0;15,3;15,9;14,1;910,0;910,3;910,0;3,5;236,0;6,5;3190,46;;
01/11/2020;1500;26,2;27,6;25,7;47,0;52,0;45,0;13,9;15,7;13,3;909,5;910,1;909,5;2,7;236,0;6,5;3112,61;;
01/11/2020;1600;27,2;28,0;26,1;45,0;48,0;42,0;14,2;15,1;13,0;908,8;909,5;908,8;2,6;236,0;6,8;2766,11;;
01/11/2020;1700;27,9;28,2;26,3;45,0;48,0;40,0;15,0;15,0;12,8;908,1;908,9;908,1;3,1;236,0;9,5;2699,63;;
01/11/2020;1800;27,9;28,4;26,7;41,0;45,0;38,0;13,4;14,7;12,2;907,5;908,1;907,5;3,6;236,0;8,9;1995,52;;
01/11/2020;1900;28,1;28,8;27,2;36,0;41,0;34,0;11,5;13,6;11,1;906,9;907,5;906,9;3,9;236,0;9,0;1821,43;;
01/11/2020;2000;27,0;28,4;27,0;41,0;41,0;35,0;12,5;12,7;11,0;907,0;907,0;906,8;5,3;236,0;9,9;1143,32;;
01/11/2020;2100;25,1;27,0;25,1;46,0;47,0;41,0;12,6;13,7;12,5;907,5;907,6;907,0;2,2;236,0;8,7;149,93;;
01/11/2020;2200;23,7;25,1;23,7;48,0;48,0;43,0;12,0;12,7;11,2;908,3;908,3;907,6;2,3;236,0;6,1;;;
01/11/2020;2300;22,1;23,7;22,0;51,0;52,0;48,0;11,6;12,1;11,6;909,0;909,0;908,3;3,9;236,0;8,9;;;
02/11/2020;0000;20,6;22,2;20,6;57,0;57,0;51,0;11,7;11,8;11,6;909,7;909,7;909,0;2,8;236,0;9,1;;;
02/11/2020;0100;19,3;20,6;19,3;61,0;61,0;56,0;11,6;11,7;11,5;910,4;910,4;909,7;2,9;236,0;6,8;;;
02/11/2020;0200;17,6;19,4;17,6;68,0;68,0;61,0;11,7;11,7;11,5;910,5;910,7;910,4;0,5;236,0;6,2;;;
02/11/2020;0300;17,5;17,8;17,4;70,0;70,0;68,0;11,9;12,0;11,7;910,1;910,5;910,1;2,0;236,0;4,1;;;
02/11/2020;0400;16,8;17,5;16,7;75,0;75,0;70,0;12,3;12,3;11,9;910,1;910,2;910,1;1,5;236,0;4,1;;;
02/11/2020;0500;16,5;16,8;16,2;76,0;77,0;75,0;12,1;12,4;12,0;909,9;910,2;909,9;0,7;236,0;3,8;;;
02/11/2020;0600;16,0;16,5;15,7;75,0;78,0;75,0;11,6;12,1;11,6;909,7;909,9;909,6;0,4;236,0;3,4;;;
02/11/2020;0700;16,0;16,1;15,9;71,0;75,0;71,0;10,7;11,6;10,7;909,8;909,8;909,6;1,7;236,0;5,0;;;
02/11/2020;0800;15,4;16,0;15,4;73,0;73,0;71,0;10,6;10,8;10,6;910,1;910,1;909,8;2,3;236,0;6,5;;;
02/11/2020;0900;15,7;15,7;15,1;74,0;74,0;73,0;11,0;11,0;10,6;910,4;910,4;910,1;0,5;236,0;6,5;61,00;;
02/11/2020;1000;17,9;18,1;15,7;61,0;74,0;61,0;10,4;11,1;10,3;910,8;910,8;910,4;2,7;236,0;6,1;813,79;;
02/11/2020;1100;20,6;20,6;17,9;53,0;62,0;53,0;10,7;11,1;10,4;911,2;911,2;910,8;3,1;236,0;7,0;1907,45;;
02/11/2020;1200;23,0;23,0;20,5;47,0;54,0;46,0;10,9;11,5;10,4;911,1;911,3;911,1;2,6;236,0;6,5;2726,99;;
02/11/2020;1300;25,0;25,0;23,0;39,0;47,0;35,0;10,1;11,6;7,9;910,8;911,1;910,8;1,4;236,0;6,1;3482,95;;
02/11/2020;1400;25,1;25,7;23,7;34,0;43,0;34,0;8,1;10,8;8,1;910,6;910,8;910,5;3,4;236,0;6,0;2984,04;;
02/11/2020;1500;27,1;27,1;25,0;31,0;36,0;30,0;8,5;9,2;7,0;910,0;910,6;910,0;2,6;236,0;6,1;3947,15;;
02/11/2020;1600;27,1;27,7;25,9;29,0;32,0;28,0;7,3;8,5;6,6;909,2;910,0;909,2;1,8;236,0;7,2;3801,57;;
02/11/2020;1700;27,5;28,1;26,3;26,0;30,0;26,0;6,5;8,1;6,4;908,3;909,3;908,0;3,0;236,0;15,8;3583,17;;
02/11/2020;1800;27,5;28,6;27,1;25,0;28,0;25,0;5,5;7,7;5,5;907,8;908,3;907,8;3,7;236,0;15,8;2896,45;;
02/11/2020;1900;27,3;28,5;27,0;25,0;26,0;24,0;5,5;6,7;5,0;907,4;907,8;907,4;3,4;236,0;7,5;2028,83;;
02/11/2020;2000;26,3;27,5;26,3;25,0;26,0;24,0;4,7;6,1;4,5;907,4;907,5;907,3;4,0;236,0;7,8;1085,88;;
02/11/2020;2100;24,8;26,3;24,8;29,0;29,0;24,0;5,7;5,7;4,3;907,9;907,9;907,4;1,8;236,0;7,2;114,97;;
02/11/2020;2200;23,3;24,8;23,2;33,0;33,0;29,0;6,0;6,0;5,7;908,8;908,8;907,9;1,2;236,0;3,7;;;
02/11/2020;2300;20,1;23,3;20,1;48,0;49,0;33,0;8,9;9,1;5,7;909,4;909,4;908,8;0,1;236,0;2,1;;;
03/11/2020;0000;18,3;20,1;18,3;59,0;59,0;48,0;10,2;10,3;8,4;909,9;909,9;909,4;0,3;236,0;1,3;;;
03/11/2020;0100;17,4;18,6;17,0;61,0;65,0;55,0;9,7;10,5;9,0;910,4;910,4;909,9;0,2;236,0;1,5;;;
03/11/2020;0200;16,6;18,1;16,4;62,0;67,0;52,0;9,1;10,3;8,0;910,2;910,5;910,2;1,9;236,0;5,3;;;
03/11/2020;0300;17,6;17,6;16,5;55,0;62,0;55,0;8,5;9,1;8,2;909,4;910,2;909,4;0,8;236,0;2,7;;;
03/11/2020;0400;16,3;17,6;15,5;61,0;69,0;55,0;8,8;10,0;8,1;909,1;909,4;909,1;0,3;236,0;2,2;;;
03/11/2020;0500;15,1;16,3;15,1;71,0;71,0;61,0;10,0;10,0;8,7;908,8;909,1;908,8;0,0;236,0;1,1;;;
03/11/2020;0600;15,3;16,7;15,1;69,0;72,0;60,0;9,6;10,1;8,9;908,6;908,8;908,5;0,3;236,0;2,7;;;
03/11/2020;0700;16,6;17,5;15,2;67,0;70,0;56,0;10,5;10,5;8,7;908,9;909,0;908,6;0,8;236,0;3,9;;;
03/11/2020;0800;16,5;17,2;16,4;70,0;70,0;64,0;10,9;11,0;9,9;909,4;909,4;908,9;0,2;236,0;2,5;;;
03/11/2020;0900;18,2;18,3;16,4;72,0;72,0;70,0;13,1;13,2;11,0;909,6;909,7;909,4;1,9;236,0;4,3;81,24;;
03/11/2020;1000;20,2;20,2;18,2;71,0;74,0;70,0;14,7;14,8;13,2;910,1;910,1;909,6;3,9;236,0;7,8;807,93;;
03/11/2020;1100;21,7;22,2;20,2;65,0;71,0;65,0;15,0;15,6;14,8;910,4;910,6;910,1;6,7;236,0;12,1;1852,41;;
03/11/2020;1200;23,4;23,5;21,7;61,0;66,0;61,0;15,6;15,7;14,9;910,9;910,9;910,4;5,8;236,0;12,2;2678,63;;
03/11/2020;1300;25,4;26,1;23,1;52,0;62,0;52,0;14,9;16,0;14,9;910,6;910,9;910,5;5,7;236,0;12,1;3390,96;;
03/11/2020;1400;22,7;26,4;22,5;73,0;74,0;50,0;17,7;18,0;14,4;910,6;910,7;910,2;4,3;236,0;10,6;2509,09;;
03/11/2020;1500;22,7;23,7;21,5;67,0;76,0;65,0;16,4;18,1;16,3;910,0;910,7;909,9;2,7;236,0;8,5;1087,49;;
03/11/2020;1600;25,1;25,1;22,4;56,0;70,0;55,0;15,6;17,3;15,4;909,0;909,9;909,0;0,9;236,0;8,5;1107,63;;
03/11/2020;1700;26,0;27,3;25,1;48,0;57,0;44,0;14,2;16,5;13,5;908,2;909,0;908,2;1,5;236,0;5,2;2639,04;;
03/11/2020;1800;28,8;29,0;26,0;25,0;48,0;25,0;7,1;14,3;6,5;907,7;908,2;907,7;2,5;236,0;11,3;1863,03;;
03/11/2020;1900;26,4;28,9;26,3;27,0;29,0;24,0;6,0;7,9;5,9;907,9;907,9;907,6;6,3;236,0;11,7;1925,92;;
03/11/2020;2000;25,8;26,6;25,8;29,0;30,0;27,0;6,5;7,1;5,8;908,1;908,1;907,9;5,4;236,0;12,1;946,18;;
03/11/2020;2100;24,1;25,8;24,1;33,0;33,0;29,0;6,8;6,9;6,4;908,7;908,7;908,1;3,8;236,0;10,0;140,10;;
03/11/2020;2200;22,7;24,1;22,7;38,0;39,0;33,0;7,6;8,0;6,7;909,4;909,4;908,7;1,4;236,0;6,5;;;
03/11/2020;2300;22,0;22,7;21,6;39,0;42,0;38,0;7,5;8,1;7,4;910,1;910,1;909,4;2,4;236,0;3,8;;;
04/11/2020;0000;20,2;22,1;19,7;45,0;46,0;38,0;7,8;8,0;7,2;911,0;911,0;910,1;0,8;236,0;4,6;;;
04/11/2020;0100;17,3;20,3;17,3;59,0;59,0;43,0;9,1;9,3;7,4;911,5;911,5;911,0;0,3;236,0;1,6;;;
04/11/2020;0200;15,6;17,2;15,5;68,0;69,0;57,0;9,8;10,1;8,5;911,3;911,5;911,3;0,0;236,0;2,0;;;
04/11/2020;0300;14,7;15,7;14,7;72,0;72,0;64,0;9,7;10,0;8,7;910,9;911,3;910,9;0,1;236,0;1,6;;;
04/11/2020;0400;14,1;15,4;14,1;75,0;76,0;70,0;9,8;10,4;9,7;910,6;910,9;910,6;0,1;236,0;1,3;;;
04/11/2020;0500;15,3;16,2;14,1;83,0;83,0;66,0;12,5;12,5;9,7;910,3;910,7;910,3;2,9;236,0;5,5;;;
04/11/2020;0600;14,1;15,3;14,0;86,0;86,0;81,0;11,8;12,7;11,4;910,4;910,4;910,2;0,0;236,0;5,0;;;
04/11/2020;0700;13,5;14,5;13,5;86,0;86,0;84,0;11,2;12,1;11,1;910,9;911,0;910,4;0,6;236,0;3,0;;;
04/11/2020;0800;13,6;14,4;13,2;90,0;90,0;83,0;12,0;12,6;10,5;911,5;911,5;910,9;2,3;236,0;4,2;;;
04/11/2020;0900;15,0;15,0;13,3;91,0;92,0;90,0;13,5;13,6;11,7;911,9;911,9;911,5;1,1;236,0;4,2;73,42;;
04/11/2020;1000;19,3;19,3;15,0;77,0;91,0;76,0;15,1;15,1;13,4;912,4;912,4;911,8;2,0;236,0;5,0;806,61;;
04/11/2020;1100;22,1;22,1;19,3;63,0;77,0;63,0;14,6;15,2;14,2;912,8;912,8;912,4;2,1;236,0;5,7;1866,97;;
04/11/2020;1200;23,7;24,1;21,7;52,0;63,0;52,0;13,2;15,1;13,2;913,0;913,1;912,8;2,6;236,0;5,8;2740,34;;
