Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm),
01/01/2020,0100,28.2,28.6,28.2,70.0,70.0,68.0,22.2,22.3,22.1,979.2,979.2,978.6,1.6,306.0,3.0,,0.0,
01/01/2020,0200,27.7,28.2,27.6,73.0,73.0,70.0,22.4,22.4,22.2,979.3,979.3,979.2,1.9,307.0,3.6,,0.0,
01/01/2020,0300,27.4,27.7,27.4,74.0,75.0,73.0,22.4,22.6,22.4,979.1,979.3,979.1,2.3,313.0,4.1,,0.0,
01/01/2020,0400,26.5,27.4,26.5,78.0,78.0,74.0,22.3,22.4,22.3,979.0,979.1,978.8,2.0,289.0,4.9,,0.0,
01/01/2020,0500,25.5,26.5,25.5,83.0,83.0,78.0,22.4,22.5,22.3,978.7,979.1,978.7,1.5,265.0,4.3,,0.0,
01/01/2020,0600,25.2,25.6,25.2,84.0,84.0,82.0,22.2,22.4,22.2,978.0,978.7,978.0,1.3,273.0,3.6,,0.0,
01/01/2020,0700,24.6,25.2,24.5,87.0,87.0,84.0,22.2,22.3,22.2,978.2,978.2,978.0,1.4,276.0,2.9,,0.0,
01/01/2020,0800,24.1,24.6,24.1,89.0,89.0,87.0,22.1,22.2,22.1,978.6,978.6,978.2,1.1,258.0,2.9,,0.0,
01/01/2020,0900,23.2,24.1,23.2,92.0,92.0,89.0,21.9,22.1,21.9,979.0,979.0,978.5,1.6,237.0,2.9,3.55,0.0,
01/01/2020,1000,24.5,24.6,23.1,86.0,93.0,86.0,22.1,22.1,21.9,979.3,979.3,979.0,1.4,214.0,3.0,322.13,0.0,
01/01/2020,1100,26.8,26.8,24.5,77.0,87.0,76.0,22.3,22.5,22.1,979.7,979.8,979.3,2.0,214.0,3.9,1099.46,0.0,
01/01/2020,1200,28.6,28.6,26.6,69.0,77.0,68.0,22.4,22.5,21.7,979.7,979.7,979.5,2.4,219.0,5.0,1964.30,0.0,
01/01/2020,1300,29.6,29.6,28.2,62.0,69.0,62.0,21.4,22.4,21.2,979.6,979.7,979.5,2.2,234.0,6.1,2884.36,0.0,
01/01/2020,1400,30.3,30.8,28.9,57.0,64.0,56.0,20.8,22.1,20.6,979.5,979.6,979.4,3.1,249.0,7.3,3045.97,0.0,
01/01/2020,1500,30.6,31.7,29.4,55.0,61.0,52.0,20.4,21.4,19.9,979.3,979.6,979.3,3.0,254.0,7.9,2917.96,0.0,
01/01/2020,1600,30.8,31.8,29.4,53.0,57.0,50.0,20.2,20.8,19.5,979.0,979.3,978.9,3.4,250.0,8.5,2925.84,0.0,
01/01/2020,1700,31.4,32.5,30.2,49.0,54.0,48.0,19.6,20.9,19.4,978.6,979.0,978.6,2.8,254.0,7.9,3260.48,0.0,
01/01/2020,1800,30.7,32.4,30.4,51.0,53.0,48.0,19.3,20.8,19.2,978.3,978.6,978.3,3.6,247.0,8.0,2417.32,0.0,
01/01/2020,1900,31.5,32.1,30.3,53.0,56.0,49.0,20.6,21.6,19.4,977.7,978.3,977.7,3.9,220.0,8.6,2286.16,0.0,
01/01/2020,2000,31.2,32.1,30.3,50.0,53.0,48.0,19.6,20.8,19.1,977.1,977.7,977.1,3.7,214.0,9.0,1778.05,0.0,
01/01/2020,2100,30.8,31.7,29.9,51.0,55.0,50.0,19.5,20.8,19.0,976.9,977.1,976.7,4.5,192.0,11.1,1197.65,0.0,
01/01/2020,2200,28.4,30.8,28.4,63.0,63.0,51.0,20.7,21.1,19.5,977.3,977.3,976.9,3.6,187.0,9.9,641.72,0.0,
01/01/2020,2300,26.5,28.4,26.5,70.0,70.0,63.0,20.6,20.9,20.6,978.3,978.3,977.3,3.3,176.0,8.4,52.79,0.0,
02/01/2020,0000,25.5,26.5,25.5,76.0,76.0,70.0,20.9,21.1,20.6,979.2,979.2,978.3,3.3,168.0,8.6,,0.0,
02/01/2020,0100,24.5,25.5,24.5,81.0,81.0,76.0,20.9,21.0,20.9,980.0,980.0,979.2,2.9,168.0,7.7,,0.0,
02/01/2020,0200,23.7,24.5,23.7,85.0,85.0,81.0,21.0,21.0,20.9,980.3,980.3,980.0,2.5,164.0,5.7,,0.0,
02/01/2020,0300,23.5,23.7,23.1,85.0,88.0,85.0,20.7,21.0,20.7,980.6,980.6,980.3,3.1,142.0,6.1,,0.0,
02/01/2020,0400,23.2,23.6,23.2,82.0,84.0,82.0,19.9,20.7,19.9,980.3,980.5,980.3,3.3,136.0,6.1,,0.0,
02/01/2020,0500,23.1,23.2,22.8,79.0,83.0,79.0,19.3,19.9,19.3,980.0,980.3,979.9,3.8,132.0,7.6,,0.0,
02/01/2020,0600,22.0,23.1,22.0,84.0,84.0,79.0,19.1,19.3,19.1,979.8,980.0,979.7,2.4,137.0,7.8,,0.0,
02/01/2020,0700,21.1,21.9,21.1,88.0,88.0,84.0,19.1,19.1,19.0,979.9,979.9,979.7,3.0,145.0,6.3,,0.0,
02/01/2020,0800,20.7,21.1,20.7,89.0,89.0,88.0,18.8,19.1,18.8,980.2,980.2,979.9,3.9,138.0,8.5,,0.0,
02/01/2020,0900,20.3,20.7,20.3,89.0,90.0,89.0,18.4,18.8,18.4,981.0,981.0,980.2,3.4,134.0,7.7,5.00,0.0,
02/01/2020,1000,21.5,21.5,20.3,80.0,89.0,80.0,17.8,18.5,17.8,981.7,981.7,981.0,4.9,135.0,9.8,195.36,0.0,
02/01/2020,1100,22.0,22.1,21.5,76.0,80.0,76.0,17.7,17.9,17.5,982.7,982.8,981.7,4.9,134.0,9.0,694.19,0.0,
02/01/2020,1200,23.2,23.5,22.0,72.0,77.0,71.0,17.8,18.2,17.7,983.1,983.2,982.7,4.5,127.0,9.6,1090.55,0.0,
02/01/2020,1300,24.7,24.8,23.1,67.0,73.0,66.0,18.0,18.3,17.8,983.4,983.4,983.1,4.8,117.0,10.5,1715.86,0.0,
02/01/2020,1400,25.0,25.4,24.4,65.0,67.0,65.0,18.1,18.6,17.7,983.7,983.7,983.4,4.4,134.0,9.0,2005.08,0.0,
02/01/2020,1500,26.8,26.8,25.0,60.0,65.0,60.0,18.3,18.6,17.8,983.6,983.8,983.6,4.4,118.0,9.5,2694.92,0.0,
02/01/2020,1600,27.6,27.9,26.6,58.0,60.0,56.0,18.4,18.8,18.0,983.3,983.6,983.3,4.0,133.0,8.8,2927.34,0.0,
02/01/2020,1700,29.1,29.4,27.4,53.0,58.0,52.0,18.4,18.9,18.1,982.8,983.4,982.8,3.9,125.0,8.6,2979.55,0.0,
02/01/2020,1800,28.7,29.7,28.0,52.0,55.0,50.0,17.8,18.5,17.6,982.3,982.8,982.3,4.1,134.0,8.6,2018.38,0.0,
02/01/2020,1900,28.8,29.7,28.4,49.0,52.0,49.0,17.1,18.3,17.1,981.9,982.4,981.8,4.1,132.0,8.9,1725.36,0.0,
02/01/2020,2000,29.9,30.3,28.4,45.0,51.0,45.0,16.9,17.7,16.2,981.6,981.9,981.5,3.8,135.0,9.6,2087.79,0.0,
