Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm)
01/01/2020;100;28,6;29,6;28,6;58;58;51;19,4;19,6;18,3;952,2;952,2;951,8;3;195;4,7;;0
01/01/2020;200;28,2;28,7;28;60;61;58;19,7;19,9;19,5;952,5;952,5;952,2;2,9;191;4,7;;0
01/01/2020;300;26,9;28,2;26,9;64;64;60;19,5;19,7;19,4;952,5;952,6;952,5;1,4;159;4,4;;0
01/01/2020;400;25,7;27;25,7;73;73;64;20,6;20,6;19,4;952;952,5;952;1,4;136;2,7;;0
01/01/2020;500;25,4;26,4;25,2;76;77;70;20,9;20,9;20,5;951,8;952;951,7;0,8;146;2,6;;0
01/01/2020;600;25;25,5;24,5;79;82;76;21,1;21,2;20,7;951,3;951,8;951,3;1,3;135;2,5;;0
01/01/2020;700;23,6;25,1;23,6;87;87;79;21,3;21,3;21;951,4;951,5;951,3;1,6;121;2,2;;0
01/01/2020;800;22,5;23,9;22,5;95;95;86;21,7;21,7;21,3;951,5;951,5;951,3;1,3;87;2,5;;0
01/01/2020;900;22,4;22,5;22,1;99;100;95;22,3;22,3;21,7;951,8;951,9;951,5;1,3;124;2,5;20,17;0
01/01/2020;1000;24,5;24,6;22,4;88;100;87;22,4;22,9;22,1;952,4;952,4;951,8;1,6;101;2,6;592,32;0
01/01/2020;1100;24,3;24,9;23,9;93;94;87;23,1;23,1;22,2;952,8;952,8;952,4;3,3;60;4,6;703,04;0
01/01/2020;1200;27,4;27,4;24,4;80;95;80;23,6;24,5;23,1;953;953;952,8;1,4;39;4,6;1897,6;0
01/01/2020;1300;29,5;30;27,1;69;83;68;23,1;24,4;23;952,8;953,1;952,8;1,1;144;3,4;2783,89;0
01/01/2020;1400;31,8;32,2;29,4;56;73;56;21,9;24,3;21,9;952,3;952,8;952,3;1,5;172;3,7;3353,17;0
01/01/2020;1500;33,9;33,9;31,8;50;63;43;22;24,8;18,7;951,7;952,3;951,7;2,2;312;4,9;3456,58;0
01/01/2020;1600;34;34,3;32,4;47;53;42;21,1;22,6;19,5;951;951,8;951;2,4;267;6,5;3423,22;0
01/01/2020;1700;33,6;34,9;33,4;47;50;41;20,7;22,5;19,6;949,6;951;949,6;2,7;314;7,1;2830,95;0
01/01/2020;1800;31,6;33,7;30,8;55;59;46;21,3;22,1;20,4;949,2;949,6;949,2;2,9;177;7,7;889,83;0
01/01/2020;1900;29,7;32;29,4;64;75;54;22,2;25;21,3;948,7;949,2;948,5;2,1;189;7,4;614,19;0,2
01/01/2020;2000;22,7;29,7;21,4;100;100;64;22,6;23,7;21,3;950;950,6;948,7;5,7;183;20,6;41,73;44,8
