SANTANA DO LIVRAMENTO (A804);
Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm);
01/10/2020;0100;22,3;22,9;22,3;84,0;84,0;82,0;19,5;19,6;19,4;982,6;982,7;982,5;3,2;34,0;6,6;;0,0;
01/10/2020;0200;21,8;22,3;21,5;87,0;88,0;84,0;19,5;19,5;19,3;982,1;982,6;982,1;3,5;35,0;6,1;;0,0;
01/10/2020;0300;21,4;21,9;21,4;89,0;89,0;86,0;19,4;19,5;19,4;981,7;982,1;981,7;1,4;23,0;7,4;;0,0;
01/10/2020;0400;21,1;21,4;20,7;90,0;91,0;89,0;19,4;19,6;19,2;980,9;981,7;980,9;2,3;5,0;4,4;;0,0;
01/10/2020;0500;20,7;21,1;20,4;93,0;93,0;90,0;19,4;19,4;19,1;980,3;980,9;980,3;1,8;31,0;5,0;;0,0;
01/10/2020;0600;20,4;20,7;20,3;93,0;93,0;92,0;19,2;19,5;19,1;979,8;980,3;979,8;1,6;54,0;3,5;;0,0;
01/10/2020;0700;20,0;20,4;19,7;94,0;94,0;93,0;19,0;19,2;18,7;979,1;979,8;979,0;0,3;26,0;2,0;;0,0;
01/10/2020;0800;19,4;20,0;19,3;95,0;95,0;94,0;18,5;19,1;18,5;978,9;979,1;978,9;0,6;168,0;1,5;;0,0;
01/10/2020;0900;19,3;19,4;18,6;95,0;95,0;95,0;18,5;18,5;17,8;979,4;979,5;978,8;1,4;147,0;2,5;;0,0;
01/10/2020;1000;20,0;20,2;19,1;95,0;95,0;95,0;19,2;19,5;18,4;981,1;981,9;979,3;4,0;172,0;15,1;4,28;1,6;
01/10/2020;1100;20,3;20,9;20,0;93,0;95,0;93,0;19,1;19,9;19,1;981,2;981,2;980,7;1,9;82,0;7,4;182,95;0,0;
01/10/2020;1200;20,7;21,3;20,3;90,0;93,0;90,0;19,0;19,8;18,9;981,8;981,9;981,0;3,3;173,0;5,6;470,16;0,0;
01/10/2020;1300;22,7;23,1;20,7;82,0;92,0;82,0;19,5;20,5;19,0;981,9;982,1;981,8;1,8;78,0;5,1;1296,54;0,0;
01/10/2020;1400;24,6;25,0;22,7;77,0;84,0;76,0;20,3;21,2;19,5;981,3;981,9;981,3;2,0;76,0;4,0;1993,25;0,0;
01/10/2020;1500;27,3;27,4;24,6;67,0;79,0;66,0;20,7;21,9;20,4;981,0;981,4;981,0;0,7;95,0;3,6;1880,17;0,0;
01/10/2020;1600;29,7;29,7;27,3;63,0;70,0;61,0;21,8;22,5;20,1;980,4;981,0;980,4;0,2;108,0;2,6;2712,04;0,0;
01/10/2020;1700;30,3;31,0;29,4;56,0;64,0;53,0;20,6;22,1;20,2;979,5;980,4;979,5;0,7;319,0;2,3;2236,02;0,0;
01/10/2020;1800;31,0;31,7;30,2;54,0;61,0;51,0;20,5;22,0;19,9;979,0;979,5;978,9;0,2;224,0;2,0;1491,21;0,0;
01/10/2020;1900;26,9;31,0;26,2;73,0;75,0;54,0;21,5;22,6;20,8;979,1;979,1;978,9;5,5;170,0;8,8;1229,65;0,0;
01/10/2020;2000;23,2;27,1;23,2;79,0;79,0;71,0;19,3;21,8;19,2;979,7;979,7;979,0;7,0;168,0;9,8;840,72;0,0;
01/10/2020;2100;22,5;23,2;22,4;81,0;81,0;78,0;19,0;19,4;18,9;980,7;980,7;979,7;5,3;167,0;9,8;358,26;0,0;
01/10/2020;2200;20,7;22,5;20,7;84,0;84,0;81,0;17,8;19,1;17,8;981,6;981,6;980,7;7,6;175,0;10,4;49,30;0,0;
01/10/2020;2300;19,0;20,7;19,0;87,0;87,0;84,0;16,8;17,9;16,8;982,9;982,9;981,6;6,9;165,0;10,4;;0,0;
02/10/2020;0000;18,2;19,0;18,2;89,0;89,0;87,0;16,3;16,9;16,3;983,6;983,6;982,9;8,3;171,0;11,6;0,56;0,0;
02/10/2020;0100;17,6;18,2;17,6;91,0;91,0;89,0;16,1;16,4;16,0;984,0;984,1;983,6;7,7;165,0;11,6;;0,0;
02/10/2020;0200;17,5;17,6;17,5;93,0;93,0;91,0;16,4;16,4;16,1;984,3;984,4;984,0;6,0;158,0;11,6;;0,0;
02/10/2020;0300;17,4;17,6;17,4;95,0;95,0;93,0;16,5;16,5;16,4;984,1;984,4;984,1;5,8;161,0;9,1;;0,0;
02/10/2020;0400;17,0;17,4;17,0;95,0;95,0;95,0;16,3;16,5;16,2;983,9;984,1;983,8;6,8;160,0;11,0;0,03;0,0;
02/10/2020;0500;16,8;17,1;16,8;95,0;95,0;95,0;16,0;16,3;16,0;983,9;984,0;983,8;5,1;149,0;10,7;;0,0;
02/10/2020;0600;16,5;16,8;16,5;95,0;95,0;95,0;15,7;16,0;15,7;983,7;983,9;983,6;5,6;161,0;10,2;0,01;0,0;
02/10/2020;0700;15,6;16,5;15,6;96,0;96,0;95,0;14,9;15,7;14,9;984,5;984,5;983,7;7,8;164,0;11,8;0,43;0,0;
02/10/2020;0800;14,3;15,6;14,3;95,0;96,0;95,0;13,5;14,9;13,5;985,5;985,5;984,4;9,3;172,0;14,0;0,75;0,0;
02/10/2020;0900;12,7;14,3;12,7;90,0;95,0;90,0;11,1;13,4;11,1;986,6;986,6;985,5;9,6;166,0;14,3;1,92;0,0;
02/10/2020;1000;12,8;13,1;12,7;69,0;90,0;69,0;7,3;11,0;7,3;987,6;987,8;986,6;7,4;157,0;13,9;5,80;0,0;
02/10/2020;1100;10,7;12,8;10,7;82,0;82,0;65,0;7,7;7,7;6,3;988,5;991,9;987,6;6,5;144,0;12,1;9,84;1,8;
02/10/2020;1200;11,2;11,4;10,6;80,0;84,0;77,0;7,9;8,4;7,4;990,9;991,9;987,8;7,0;161,0;12,0;64,14;0,0;
02/10/2020;1300;12,1;12,1;11,1;80,0;82,0;79,0;8,8;8,8;8,0;991,3;991,4;988,8;5,4;149,0;12,6;381,47;0,0;
02/10/2020;1400;12,8;12,8;12,1;80,0;82,0;77,0;9,3;9,4;8,8;992,2;992,2;990,2;7,1;155,0;13,5;521,21;0,0;
02/10/2020;1500;12,6;12,9;12,5;84,0;85,0;78,0;10,0;10,2;9,1;992,3;992,5;991,9;9,3;162,0;14,4;495,12;0,0;
02/10/2020;1600;12,6;13,0;12,3;82,0;85,0;82,0;9,6;10,2;9,6;991,9;992,4;991,7;8,8;152,0;14,9;513,29;0,0;
02/10/2020;1700;11,4;12,7;11,3;93,0;93,0;82,0;10,3;10,3;9,6;992,3;994,3;991,6;7,5;154,0;13,4;206,31;4,4;
02/10/2020;1800;11,7;11,8;11,4;92,0;93,0;92,0;10,5;10,6;10,4;993,3;993,6;992,0;6,6;164,0;12,2;49,33;4,4;
02/10/2020;1900;11,1;11,7;11,1;93,0;95,0;92,0;10,0;10,7;10,0;992,7;993,8;992,0;8,2;165,0;12,8;27,67;4,8;
02/10/2020;2000;10,7;11,4;10,6;90,0;94,0;87,0;9,1;10,2;8,8;994,8;994,8;992,3;6,2;143,0;13,2;37,59;1,2;
02/10/2020;2100;10,5;10,8;10,3;90,0;92,0;85,0;8,9;9,1;8,3;994,2;995,5;994,1;7,0;151,0;14,1;18,71;2,0;
02/10/2020;2200;10,7;10,7;10,3;85,0;91,0;84,0;8,2;8,9;8,1;995,3;995,3;993,6;7,4;141,0;13,3;7,81;0,2;
02/10/2020;2300;10,9;11,0;10,5;86,0;87,0;84,0;8,8;8,8;8,1;996,5;996,6;995,0;6,1;138,0;15,6;0,84;0,0;
03/10/2020;0000;11,0;11,1;10,9;89,0;90,0;86,0;9,2;9,4;8,8;997,0;997,5;995,8;7,2;135,0;12,2;;0,0;
03/10/2020;0100;10,6;11,0;10,6;88,0;90,0;88,0;8,8;9,2;8,7;997,5;997,5;996,1;7,6;144,0;12,6;;0,0;
03/10/2020;0200;10,4;10,7;10,4;88,0;89,0;87,0;8,5;8,8;8,5;997,9;998,3;997,5;7,0;137,0;13,3;;0,2;
03/10/2020;0300;10,1;10,4;10,1;88,0;89,0;87,0;8,2;8,6;8,2;998,1;998,6;997,9;6,9;143,0;12,7;;0,0;
03/10/2020;0400;9,9;10,1;9,9;88,0;89,0;88,0;7,9;8,2;7,9;998,2;998,4;997,9;7,9;144,0;12,7;;0,0;
