TUPANCIRETA (A886);
Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm);
01/10/2020;0100;25,7;26,7;25,7;80,0;80,0;70,0;22,0;22,0;20,7;954,9;954,9;954,7;1,5;52,0;3,8;;0,0;
01/10/2020;0200;25,3;25,7;24,9;82,0;85,0;80,0;21,9;22,4;21,7;954,8;955,0;954,7;1,2;39,0;4,1;;0,0;
01/10/2020;0300;24,2;25,3;24,0;84,0;87,0;81,0;21,4;21,9;21,4;954,5;954,8;954,5;1,5;27,0;2,8;;0,0;
01/10/2020;0400;24,2;24,8;23,9;80,0;85,0;79,0;20,6;21,5;20,5;954,0;954,5;953,9;1,8;26,0;3,2;;0,0;
01/10/2020;0500;22,5;24,2;22,5;90,0;90,0;80,0;20,7;20,8;20,5;953,6;954,0;953,6;2,0;16,0;3,3;;0,0;
01/10/2020;0600;23,6;23,6;22,3;76,0;91,0;76,0;19,2;20,7;19,2;953,3;953,6;953,3;2,3;16,0;3,5;;0,0;
01/10/2020;0700;22,8;23,9;22,8;78,0;78,0;73,0;18,7;19,2;18,5;952,9;953,3;952,9;1,9;31,0;3,9;;0,0;
01/10/2020;0800;22,0;22,8;21,9;77,0;79,0;74,0;17,8;18,8;17,8;952,8;952,9;952,7;2,2;29,0;4,2;;0,0;
01/10/2020;0900;22,0;22,4;22,0;75,0;77,0;74,0;17,5;17,8;17,4;953,1;953,1;952,8;2,3;23,0;3,8;;0,0;
01/10/2020;1000;22,3;22,3;21,5;74,0;79,0;74,0;17,4;17,7;17,2;954,0;954,0;953,1;1,5;115,0;4,3;60,94;0,0;
01/10/2020;1100;23,7;23,7;22,3;69,0;75,0;68,0;17,6;18,2;17,1;954,7;954,9;954,0;1,1;43,0;3,5;211,76;0,0;
01/10/2020;1200;25,7;25,7;23,7;64,0;69,0;63,0;18,4;19,2;17,3;954,6;954,8;954,3;2,9;30,0;5,9;936,31;0,0;
01/10/2020;1300;24,6;26,0;24,6;74,0;75,0;64,0;19,6;19,9;18,6;954,9;955,0;954,5;2,2;30,0;5,9;813,83;0,0;
01/10/2020;1400;26,4;26,4;24,6;70,0;74,0;69,0;20,4;20,4;19,4;954,9;954,9;954,8;1,2;62,0;4,2;985,70;0,0;
01/10/2020;1500;30,8;30,9;26,3;55,0;70,0;55,0;20,7;21,3;20,0;954,0;954,9;954,0;2,3;25,0;6,0;2526,23;0,0;
