URUGUAIANA (A809);
Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm);
01/10/2020;0100;28,6;29,2;28,6;63,0;65,0;63,0;20,8;21,6;20,8;992,6;992,6;992,4;4,9;49,0;7,4;;0,0;
01/10/2020;0200;28,1;28,6;27,9;62,0;64,0;62,0;20,2;20,8;20,1;992,3;992,6;992,2;5,3;49,0;7,5;;0,0;
01/10/2020;0300;28,4;28,7;27,7;57,0;63,0;57,0;19,1;20,1;19,1;992,0;992,3;992,0;4,7;31,0;8,4;;0,0;
01/10/2020;0400;28,3;28,5;27,8;54,0;59,0;54,0;18,3;19,1;18,3;991,8;992,0;991,8;3,6;21,0;7,4;;0,0;
01/10/2020;0500;28,1;28,5;27,5;54,0;57,0;53,0;18,0;18,3;17,9;991,9;991,9;991,8;2,8;26,0;6,1;;0,0;
01/10/2020;0600;28,1;28,1;27,4;55,0;57,0;54,0;18,0;18,2;17,9;991,4;991,9;991,4;4,0;12,0;6,0;;0,0;
01/10/2020;0700;28,3;28,4;27,8;54,0;55,0;53,0;18,0;18,1;17,8;990,8;991,4;990,8;3,9;3,0;7,3;;0,0;
01/10/2020;0800;29,3;29,4;27,8;48,0;55,0;48,0;17,2;18,1;17,2;990,5;990,9;990,5;5,5;344,0;8,9;;0,0;
01/10/2020;0900;28,3;29,5;28,3;52,0;52,0;48,0;17,5;17,5;17,1;991,2;991,2;990,5;4,9;340,0;10,7;;0,0;
01/10/2020;1000;28,0;28,4;27,5;54,0;55,0;52,0;17,8;17,9;17,5;991,9;991,9;991,2;4,6;337,0;8,7;23,67;0,0;
01/10/2020;1100;28,2;28,4;27,9;55,0;55,0;53,0;18,3;18,4;17,7;992,5;992,5;991,9;4,1;326,0;8,2;380,53;0,0;
01/10/2020;1200;29,0;29,0;28,2;55,0;55,0;53,0;18,9;18,9;18,2;993,3;993,3;992,5;4,4;322,0;8,8;807,17;0,0;
01/10/2020;1300;31,0;31,2;28,9;49,0;57,0;49,0;19,1;20,7;18,8;993,7;993,8;993,3;1,7;291,0;8,3;1272,47;0,0;
01/10/2020;1400;31,8;32,1;30,8;46,0;52,0;45,0;18,7;20,2;18,7;993,8;993,9;993,6;1,8;279,0;5,9;1647,36;0,0;
01/10/2020;1500;32,6;33,0;31,7;46,0;50,0;43,0;19,6;20,0;18,3;993,4;993,8;993,4;1,9;285,0;5,7;1809,24;0,0;
01/10/2020;1600;33,0;33,2;32,3;43,0;47,0;42,0;18,8;20,1;18,2;993,0;993,4;993,0;3,5;245,0;6,5;2427,32;0,0;
01/10/2020;1700;31,7;33,0;31,2;54,0;56,0;43,0;21,3;21,6;18,7;992,3;993,0;992,3;2,9;223,0;6,5;2565,24;0,0;
01/10/2020;1800;31,8;32,2;31,1;52,0;56,0;50,0;20,9;21,4;20,0;991,6;992,3;991,6;2,9;229,0;6,2;2315,49;0,0;
01/10/2020;1900;29,9;31,9;29,9;57,0;58,0;50,0;20,6;21,3;20,1;991,8;991,9;991,6;3,8;212,0;8,2;1757,15;0,0;
01/10/2020;2000;27,7;29,9;27,7;66,0;66,0;57,0;20,7;21,4;20,1;992,3;992,3;991,8;4,1;200,0;9,1;999,12;0,0;
01/10/2020;2100;26,4;27,7;26,4;72,0;72,0;66,0;20,8;21,1;20,7;992,9;992,9;992,3;3,6;196,0;9,6;422,49;0,0;
01/10/2020;2200;24,5;26,4;24,5;77,0;77,0;72,0;20,2;20,9;20,2;993,6;993,7;992,9;3,5;182,0;9,3;74,40;0,0;
01/10/2020;2300;22,5;24,5;22,5;77,0;77,0;75,0;18,3;20,1;18,3;994,5;994,7;993,6;4,4;174,0;10,8;;0,0;
