codigo_da_estacao,data,hora,temp_ins,temp_max,temp_min,umi_ins,umi_max,umi_min,pto_orvalho_ins,pto_orvalho_max,pto_orvalho_min,pressao_ins,pressao_max,pressao_min,vel_vento,dir_vento,raj_vento,radiacao,precipitacao
CRUZ_ALTA_(A853),01/01/2020,1,22.7,22.8,22.5,88,90,87,20.6,20.8,20.5,959.5,959.5,958.8,1.9,328,3.5,,0
CRUZ_ALTA_(A853),01/01/2020,2,22.8,23,22.7,88,89,87,20.8,20.8,20.5,959.3,959.5,959.3,1.4,340,4.6,,0
CRUZ_ALTA_(A853),01/01/2020,3,22.7,22.9,22.5,88,89,88,20.6,20.8,20.6,959.3,959.3,959.1,0.4,341,3.9,,0
CRUZ_ALTA_(A853),01/01/2020,4,22.2,22.7,22.2,90,90,88,20.5,20.6,20.5,958.8,959.3,958.8,0.4,339,2.7,,0
CRUZ_ALTA_(A853),01/01/2020,5,22.1,22.5,22.1,91,91,89,20.6,20.7,20.5,958.5,958.8,958.5,0.7,338,3.1,,0
CRUZ_ALTA_(A853),01/01/2020,6,22,22.5,21.9,92,92,89,20.5,20.7,20.4,958,958.6,958,0.8,340,4.6,,0
CRUZ_ALTA_(A853),01/01/2020,7,21.7,22,21.6,93,93,91,20.5,20.6,20.4,958,958,957.9,0.1,337,3.8,,0
CRUZ_ALTA_(A853),01/01/2020,8,21.6,21.7,21.5,93,94,93,20.5,20.5,20.4,958.3,958.3,957.9,0,333,3,,0
CRUZ_ALTA_(A853),01/01/2020,9,21.7,21.8,21.6,94,94,93,20.7,20.7,20.5,958.5,958.5,958.3,0.1,326,2.2,7.37,0
CRUZ_ALTA_(A853),01/01/2020,10,22.9,22.9,21.5,90,95,90,21.2,21.4,20.6,958.9,958.9,958.6,0.8,314,2.9,351.15,0
CRUZ_ALTA_(A853),01/01/2020,11,23.9,24.2,22.9,89,92,88,22,22.4,21.3,959.4,959.4,958.9,2.2,264,3.9,14.98,0
CRUZ_ALTA_(A853),01/01/2020,12,25.3,25.6,23.8,81,92,81,21.8,23,21.7,959.5,959.5,959.2,1.6,257,4.9,1297.09,0
CRUZ_ALTA_(A853),01/01/2020,13,28.1,28.1,25.2,70,84,69,22,23,21.2,959,959.5,959,1.6,281,4.6,2223.96,0
CRUZ_ALTA_(A853),01/01/2020,14,28.1,29.4,27.3,66,72,59,21.2,22.6,20.3,958.8,959,958.8,1.8,283,6.2,2149.25,0
CRUZ_ALTA_(A853),01/01/2020,15,28.8,30.2,27.9,65,68,57,21.4,22.1,20.2,958.3,958.8,958.3,2.8,290,8,2970.53,0
CRUZ_ALTA_(A853),01/01/2020,16,30.4,32,28.6,56,65,50,20.6,21.8,19,957.8,958.3,957.8,5.2,238,9.5,3153.21,0
CRUZ_ALTA_(A853),01/01/2020,17,30.5,32.3,29.2,54,57,48,20.2,21.1,18.5,957.6,957.8,957.6,6.6,243,10.9,3553.86,0
CRUZ_ALTA_(A853),01/01/2020,18,30.8,31.9,30,52,55,48,19.7,21.1,19,957.1,957.6,957.1,5.7,234,11.3,3485.14,0
CRUZ_ALTA_(A853),01/01/2020,19,29.9,32.1,29.9,49,52,45,17.9,20.1,17.9,956.3,957.1,956.3,6.4,236,10.3,3111.82,0
CRUZ_ALTA_(A853),01/01/2020,20,29.6,31.5,29.2,52,54,48,18.6,19.6,18.3,956,956.4,956,6.2,216,11.2,2478.5,0
CRUZ_ALTA_(A853),01/01/2020,21,28.5,30.3,28.2,58,59,51,19.5,19.9,18.5,956.2,956.2,955.9,8.1,195,12,1569.94,0
CRUZ_ALTA_(A853),01/01/2020,22,26,28.6,26,68,69,57,19.7,20.2,19.3,957.1,957.1,956.2,4.9,2,11.6,480.92,0
CRUZ_ALTA_(A853),01/01/2020,23,24.6,26.2,24.6,76,76,67,20.1,20.1,19.5,957.8,957.8,957,3.5,186,8.3,73.87,0
CRUZ_ALTA_(A853),02/01/2020,0,23.6,24.6,23.6,84,84,76,20.7,21,20.1,958.7,958.7,957.8,6.5,185,10,,0
CRUZ_ALTA_(A853),02/01/2020,1,23.1,23.6,22.9,87,88,84,20.8,20.8,20.6,959.2,959.2,958.7,6.1,190,10,,0
CRUZ_ALTA_(A853),02/01/2020,2,22.3,23.3,22.3,88,88,83,20.2,20.8,20.1,959.8,959.8,959.2,6.1,214,11.3,,0
CRUZ_ALTA_(A853),02/01/2020,3,21.6,22.3,21.6,89,89,86,19.7,20.2,19.7,960,960.1,959.8,6,205,9.4,,0
CRUZ_ALTA_(A853),02/01/2020,4,21.3,21.7,21.3,87,89,86,19.1,19.7,19,959.9,960.2,959.9,5.5,205,10.1,,0
CRUZ_ALTA_(A853),02/01/2020,5,20.9,21.3,20.9,88,88,87,18.9,19.1,18.8,959.7,959.9,959.7,5.8,205,9.2,,0
CRUZ_ALTA_(A853),02/01/2020,6,20.6,20.9,20.6,88,89,88,18.6,18.9,18.6,959.6,959.8,959.5,6.2,212,9.8,,0
CRUZ_ALTA_(A853),02/01/2020,7,20.6,20.7,20.6,87,88,86,18.3,18.6,18.3,959.9,959.9,959.5,4.8,214,9.3,,0
CRUZ_ALTA_(A853),02/01/2020,8,19.6,20.7,19.6,94,95,86,18.7,18.8,18.3,960.4,960.4,959.9,4.3,211,8,,0
CRUZ_ALTA_(A853),02/01/2020,9,19.4,19.6,19.3,94,96,93,18.4,18.7,18.3,961,961,960.3,5.2,222,9.6,5.93,0
CRUZ_ALTA_(A853),02/01/2020,10,19.6,19.7,19.3,87,94,87,17.4,18.4,17.4,961.9,961.9,961,6.1,223,9.2,205.94,0
CRUZ_ALTA_(A853),02/01/2020,11,20.5,20.6,19.6,81,88,80,17,17.7,16.9,962.5,962.5,961.9,6.6,228,9.4,752.42,0
CRUZ_ALTA_(A853),02/01/2020,12,21.5,21.5,20.4,76,82,76,17.2,17.6,16.7,963,963.1,962.5,6.9,225,10.4,1135.25,0
CRUZ_ALTA_(A853),02/01/2020,13,22,22.3,21.4,74,76,73,17.2,17.6,16.8,963.1,963.2,962.9,6.5,229,10.6,1494.93,0
CRUZ_ALTA_(A853),02/01/2020,14,22.9,23.1,21.6,70,75,69,17.2,17.5,16.7,963.4,963.5,963.1,6.6,217,11.5,1620.92,0
CRUZ_ALTA_(A853),02/01/2020,15,22.2,22.9,22.2,72,73,68,16.9,17.4,16.5,963.9,963.9,963.4,6.5,216,10.7,1248.51,0
CRUZ_ALTA_(A853),02/01/2020,16,23.4,23.6,22.1,67,73,67,17,17.6,16.7,963.7,963.9,963.7,5.3,224,9.7,1351.98,0
CRUZ_ALTA_(A853),02/01/2020,17,24.9,25.3,23.4,61,68,59,16.9,17.7,16.4,963.2,963.7,963.2,7,225,11.5,2475.63,0
CRUZ_ALTA_(A853),02/01/2020,18,26.3,26.6,24.6,53,62,53,16,17.4,16,962.7,963.3,962.7,6.8,230,11.7,2481.53,0
