Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm)
01/01/2020,1,28.2,28.6,28.2,70,70,68,22.2,22.3,22.1,979.2,979.2,978.6,1.6,306,3,,0
01/01/2020,2,27.7,28.2,27.6,73,73,70,22.4,22.4,22.2,979.3,979.3,979.2,1.9,307,3.6,,0
01/01/2020,3,27.4,27.7,27.4,74,75,73,22.4,22.6,22.4,979.1,979.3,979.1,2.3,313,4.1,,0
01/01/2020,4,26.5,27.4,26.5,78,78,74,22.3,22.4,22.3,979,979.1,978.8,2,289,4.9,,0
01/01/2020,5,25.5,26.5,25.5,83,83,78,22.4,22.5,22.3,978.7,979.1,978.7,1.5,265,4.3,,0
01/01/2020,6,25.2,25.6,25.2,84,84,82,22.2,22.4,22.2,978,978.7,978,1.3,273,3.6,,0
01/01/2020,7,24.6,25.2,24.5,87,87,84,22.2,22.3,22.2,978.2,978.2,978,1.4,276,2.9,,0
01/01/2020,8,24.1,24.6,24.1,89,89,87,22.1,22.2,22.1,978.6,978.6,978.2,1.1,258,2.9,,0
01/01/2020,9,23.2,24.1,23.2,92,92,89,21.9,22.1,21.9,979,979,978.5,1.6,237,2.9,3.55,0
01/01/2020,10,24.5,24.6,23.1,86,93,86,22.1,22.1,21.9,979.3,979.3,979,1.4,214,3,322.13,0
01/01/2020,11,26.8,26.8,24.5,77,87,76,22.3,22.5,22.1,979.7,979.8,979.3,2,214,3.9,1099.46,0
01/01/2020,12,28.6,28.6,26.6,69,77,68,22.4,22.5,21.7,979.7,979.7,979.5,2.4,219,5,1964.3,0
01/01/2020,13,29.6,29.6,28.2,62,69,62,21.4,22.4,21.2,979.6,979.7,979.5,2.2,234,6.1,2884.36,0
01/01/2020,14,30.3,30.8,28.9,57,64,56,20.8,22.1,20.6,979.5,979.6,979.4,3.1,249,7.3,3045.97,0
01/01/2020,15,30.6,31.7,29.4,55,61,52,20.4,21.4,19.9,979.3,979.6,979.3,3,254,7.9,2917.96,0
01/01/2020,16,30.8,31.8,29.4,53,57,50,20.2,20.8,19.5,979,979.3,978.9,3.4,250,8.5,2925.84,0
01/01/2020,17,31.4,32.5,30.2,49,54,48,19.6,20.9,19.4,978.6,979,978.6,2.8,254,7.9,3260.48,0
01/01/2020,18,30.7,32.4,30.4,51,53,48,19.3,20.8,19.2,978.3,978.6,978.3,3.6,247,8,2417.32,0
01/01/2020,19,31.5,32.1,30.3,53,56,49,20.6,21.6,19.4,977.7,978.3,977.7,3.9,220,8.6,2286.16,0
01/01/2020,20,31.2,32.1,30.3,50,53,48,19.6,20.8,19.1,977.1,977.7,977.1,3.7,214,9,1778.05,0
01/01/2020,21,30.8,31.7,29.9,51,55,50,19.5,20.8,19,976.9,977.1,976.7,4.5,192,11.1,1197.65,0
01/01/2020,22,28.4,30.8,28.4,63,63,51,20.7,21.1,19.5,977.3,977.3,976.9,3.6,187,9.9,641.72,0
01/01/2020,23,26.5,28.4,26.5,70,70,63,20.6,20.9,20.6,978.3,978.3,977.3,3.3,176,8.4,52.79,0
02/01/2020,0,25.5,26.5,25.5,76,76,70,20.9,21.1,20.6,979.2,979.2,978.3,3.3,168,8.6,,0
02/01/2020,1,24.5,25.5,24.5,81,81,76,20.9,21,20.9,980,980,979.2,2.9,168,7.7,,0
02/01/2020,2,23.7,24.5,23.7,85,85,81,21,21,20.9,980.3,980.3,980,2.5,164,5.7,,0
02/01/2020,3,23.5,23.7,23.1,85,88,85,20.7,21,20.7,980.6,980.6,980.3,3.1,142,6.1,,0
02/01/2020,4,23.2,23.6,23.2,82,84,82,19.9,20.7,19.9,980.3,980.5,980.3,3.3,136,6.1,,0
02/01/2020,5,23.1,23.2,22.8,79,83,79,19.3,19.9,19.3,980,980.3,979.9,3.8,132,7.6,,0
02/01/2020,6,22,23.1,22,84,84,79,19.1,19.3,19.1,979.8,980,979.7,2.4,137,7.8,,0
02/01/2020,7,21.1,21.9,21.1,88,88,84,19.1,19.1,19,979.9,979.9,979.7,3,145,6.3,,0
02/01/2020,8,20.7,21.1,20.7,89,89,88,18.8,19.1,18.8,980.2,980.2,979.9,3.9,138,8.5,,0
02/01/2020,9,20.3,20.7,20.3,89,90,89,18.4,18.8,18.4,981,981,980.2,3.4,134,7.7,5,0
02/01/2020,10,21.5,21.5,20.3,80,89,80,17.8,18.5,17.8,981.7,981.7,981,4.9,135,9.8,195.36,0
02/01/2020,11,22,22.1,21.5,76,80,76,17.7,17.9,17.5,982.7,982.8,981.7,4.9,134,9,694.19,0
02/01/2020,12,23.2,23.5,22,72,77,71,17.8,18.2,17.7,983.1,983.2,982.7,4.5,127,9.6,1090.55,0
02/01/2020,13,24.7,24.8,23.1,67,73,66,18,18.3,17.8,983.4,983.4,983.1,4.8,117,10.5,1715.86,0
02/01/2020,14,25,25.4,24.4,65,67,65,18.1,18.6,17.7,983.7,983.7,983.4,4.4,134,9,25.08,0
02/01/2020,15,26.8,26.8,25,60,65,60,18.3,18.6,17.8,983.6,983.8,983.6,4.4,118,9.5,2694.92,0
02/01/2020,16,27.6,27.9,26.6,58,60,56,18.4,18.8,18,983.3,983.6,983.3,4,133,8.8,2927.34,0
02/01/2020,17,29.1,29.4,27.4,53,58,52,18.4,18.9,18.1,982.8,983.4,982.8,3.9,125,8.6,2979.55,0
02/01/2020,18,28.7,29.7,28,52,55,50,17.8,18.5,17.6,982.3,982.8,982.3,4.1,134,8.6,2018.38,0
02/01/2020,19,28.8,29.7,28.4,49,52,49,17.1,18.3,17.1,981.9,982.4,981.8,4.1,132,8.9,1725.36,0
02/01/2020,20,29.9,30.3,28.4,45,51,45,16.9,17.7,16.2,981.6,981.9,981.5,3.8,135,9.6,2087.79,0
02/01/2020,21,29.5,30.3,29.3,44,45,43,15.8,16.7,15.7,981.7,981.8,981.5,4.2,141,11,1542.97,0
02/01/2020,22,27.8,29.5,27.8,45,46,44,14.8,15.9,14.8,982.2,982.2,981.7,4.4,140,9.8,630.52,0
02/01/2020,23,25.7,27.8,25.7,51,51,45,14.7,15,14.6,982.7,982.7,982.2,3.4,137,9.7,72.51,0
03/01/2020,0,24.3,25.7,24.3,55,55,51,14.7,14.7,14.7,983.3,983.3,982.7,3.1,128,6.7,,0
03/01/2020,1,23.1,24.3,23.1,60,60,55,14.8,14.8,14.7,983.9,983.9,983.3,2.8,126,6.1,,0
03/01/2020,2,22.1,23.1,22.1,66,66,60,15.5,15.5,14.9,984.1,984.1,983.9,3.1,124,6.6,,0
03/01/2020,3,21.8,22.2,21.8,70,70,66,16,16,15.6,984.6,984.6,984.1,3.5,113,6.9,,0
03/01/2020,4,20.7,21.8,20.7,75,75,70,16.1,16.1,16,984.6,984.7,984.6,3.1,111,6.5,,0
03/01/2020,5,19.9,20.7,19.9,79,79,75,16.1,16.2,16.1,984.3,984.6,984.3,2.7,126,6.6,,0
03/01/2020,6,18.9,19.9,18.9,83,83,79,15.9,16.2,15.9,984.4,984.4,984.3,3.1,129,6.5,,0
03/01/2020,7,18,18.9,18,84,84,83,15.4,15.9,15.4,984.7,984.7,984.4,3.4,131,6.2,,0
03/01/2020,8,17.6,18,17.6,85,85,84,15.1,15.4,15.1,984.9,985,984.7,3.6,134,6.5,,0
03/01/2020,9,17.5,17.6,17.5,85,85,85,15.1,15.1,15,985.4,985.4,984.9,3.9,133,7.3,4.34,0
03/01/2020,10,18.8,18.8,17.5,81,85,81,15.5,15.6,15.1,985.8,985.8,985.4,3.9,132,7.5,342.03,0
